bfa,a3_asfis,latin_name,AphiaID
216,TBR,Ctenolabrus rupestris,126964
217,CBG,Cubiceps gracilis,126990
224,LUM,Cyclopterus lumpus,127214
228,CLQ,Arctica islandica,138802
229,FCY,Cyprinidae,0
230,FCP,Cyprinus carpio,154582
233,SCK,Dalatias licha,105910
236,JDP,Dasyatis pastinaca,105851
237,DCA,Deania calcea,105903
238,DEC,Dentex dentex,273962
245,BSS,Dicentrarchus labrax,126975
246,SPU,Dicentrarchus punctatus,126976
247,CET,Dicologlossa cuneata,127154
248,GDB,Diplecogaster bimaculata,126513
249,DUU,Diretmus argenteus,126398
251,DNI,Donax vittatus,139604
252,TOZ,Trachinus vipera,0
254,ECH,Echinodermata,0
256,SHB,Echinorhinus brucus,105922
257,URS,Echinus esculentus,124287
262,ANE,Engraulis encrasicolus,126426
265,ENQ,Entelurus aequoreus,127379
266,EPI,Epigonus telescopus,126858
269,ERS,Eriocheir sinensis,107451
271,FPI,Esox lucius,154210
273,ETR,Etmopterus princeps,105911
274,ETX,Etmopterus spinax,105913
275,EMR,Eumesogrammus praecisus,0
281,SKJ,Katsuwonus pelamis,127018
284,GUG,Eutrigla gurnardus,150637
288,GDG,Gadiculus argenteus,126435
290,GAD,Gadiformes,10313
293,COD,Gadus morhua,126436
294,GRC,Gadus ogac,158926
296,GDT,Gaidropsarus argentatus,126451
297,GGD,Gaidropsarus mediterraneus,126457
298,GGU,Gaidropsarus vulgaris,126458
299,TIG,Galeocerdo cuvier,105799
300,GAG,Galeorhinus galeus,105820
302,SHO,Galeus melastomus,105812
303,GAM,Galeus murinus,105813
306,GTA,Gasterosteus aculeatus,126505
307,GAS,Gastropoda,101
310,WIT,Glyptocephalus cynoglossus,127136
315,GBC,Gobius cobitis,126886
316,GCR,Gobius cruentatus,126888
318,GBN,Gobius niger,126892
319,GON,Gobius paganellus,126893
321,GBF,Gobiusculus flavescens,126898
331,ACC,Gymnocephalus cernuus,151302
332,MHJ,Halargyreus johnsonii,126489
335,BRF,Helicolenus dactylopterus,127251
336,SBL,Hexanchus griseus,105833
338,HPH,Hippocampus hippocampus,127380
339,HPI,Hippocampus ramulosus,0
341,PLA,Hippoglossoides platessoides,127137
343,HAL,Hippoglossus hippoglossus,127138
344,HIH,Histrio histrio,126533
349,LBE,Homarus gammarus,107253
350,ORY,Hoplostethus atlanticus,126402
351,HPR,Hoplostethus mediterraneus,126404
352,HUC,Hucho hucho,0
356,CYH,Hydrolagus mirabilis,105826
357,HYW,Hyperoglyphe perciformis,126832
359,YEI,Hyperoplus immaculatus,126755
362,IBI,Icelus bicornis,127199
364,IDF,Idiacanthus fasciola,0
365,SFA,Istiophorus platypterus,158812
366,SMA,Isurus oxyrinchus,105839
369,USB,Labrus bergylta,126965
372,LGH,Lagocephalus lagocephalus,127414
374,POR,Lamna nasus,105841
376,LYD,Lampanyctus crocodilus,126612
378,LAR,Lampetra fluviatilis,101172
381,LAG,Lampris guttatus,126522
387,GLG,Lebetus guilleti,126902
390,GLR,Lepadogaster candollei,0
391,GLP,Lepadogaster lepadogaster,126518
393,LPS,Lepidion eques,126493
394,SFS,Lepidopus caudatus,127088
395,LDB,Lepidorhombus boscii,127145
396,MEG,Lepidorhombus whiffiagonis,127146
397,LEJ,Lepomis gibbosus,0
398,LGD,Leptagonus decagonus,127191
401,GOF,Lesueurigobius friesii,126904
403,LUH,Leuciscus cephalus,0
404,FID,Leuciscus idus,154324
405,LEE,Lichia amia,126810
407,DAB,Limanda limanda,127139
411,LIU,Liparis gibbus,0
412,LIF,Liparis fabricii,0
414,LIL,Liparis liparis,127219
415,LIM,Liparis montagui,127220
416,LIS,Liparis tunicatus,0
417,PEE,Littorina littorea,140262
418,MGA,Liza aurata,126978
419,MGC,Liza ramada,126980
420,SQZ,Loliginidae,11734
422,SQF,Loligo forbesi,0
423,SQR,Loligo vulgaris,140271
425,ANK,Lophius budegassa,126554
426,MON,Lophius piscatorius,126555
428,FBU,Lota lota,154388
430,LMJ,Lumpenus fabricii,0
435,LVM,Luvarus imperialis,126974
443,LCT,Lycodes reticulatus,127112
452,SNS,Macroramphosus scolopax,127378
453,RHG,Macrourus berglax,126472
454,MQX,Mactra corallina,0
456,MLL,Malacocephalus laevis,272392
458,MCN,Malacosteus niger,0
460,CAP,Mallotus villosus,126735
461,MAV,Maurolicus muelleri,127312
463,NKR,Meganyctiphanes norvegica,110690
465,HAD,Melanogrammus aeglefinus,126437
466,MTC,Melanostigma atlanticum,0
468,WHG,Merlangius merlangus,126438
471,HKE,Merluccius merluccius,126484
473,MIA,Microchirus azevia,274299
474,MKG,Microchirus variegatus,274304
475,WHB,Micromesistius poutassou,126439
476,MPJ,Micropterus dolomieui,0
477,MPS,Micropterus salmoides,0
479,LEM,Microstomus kitt,127140
480,RMM,Mobula mobular,105858
481,MOX,Mola mola,127405
482,MOL,Mollusca,51
483,BLI,Molva dypterygia,126459
485,LIN,Molva molva,126461
486,RIB,Mora moro,126497
487,STB,Morone saxatilis,151179
489,MUF,Mugil cephalus,126983
490,MUL,Mugilidae,125546
491,MUT,Mullus barbatus,126985
492,MUR,Mullus surmuletus,126986
493,MMH,Muraena helena,126303
495,SDS,Mustelus asterias,105821
496,SMD,Mustelus mustelus,105822
497,MPT,Mustelus punctulatus,105823
499,CLS,Mya arenaria,140430
500,YTK,Mya truncata,140431
502,MTP,Myctophum punctatum,126627
503,MYL,Myliobatis aquila,105860
505,TGQ,Triglopsis quadricornis,0
506,SCU,Myoxocephalus scorpius,127203
510,MSX,Mytilidae,211
512,MUS,Mytilus edulis,140480
514,MYG,Myxine glutinosa,101170
518,GXW,Gephyroberyx darwinii,126401
519,YFM,Symphodus melops,273571
521,NAU,Naucrates ductor,126811
523,ANM,Nemichthys scolopaceus,126306
525,NBD,Neogobius melanostomus,126916
528,NEX,Nephropidae,0
530,NEP,Nephrops norvegicus,107254
534,NRL,Nerophis lumbriciformis,127383
535,NRO,Nerophis ophidion,127385
536,NEN,Nesiarchus nasutus,126865
537,NZA,Nezumia aequalis,126473
538,NZB,Nezumia bairdi,0
541,NNN,Notacanthus chemnitzii,126643
543,NRD,Notolepis rissoi,0
546,OCT,Octopodidae,11782
548,OCC,Octopus vulgaris,140605
550,PIN,Oncorhynchus gorbuscha,127182
551,CHU,Oncorhynchus keta,127183
552,TRR,Oncorhynchus mykiss,127185
557,OOA,Ophidion barbatum,126675
562,OWP,Ophiuroidea,123084
563,BOP,Orcynopsis unicolor,127019
566,SME,Osmerus eperlanus,126736
567,OXY,Oxynotus centrina,105914
568,OXN,Oxynotus paradoxus,105915
569,SBA,Pagellus acarne,127057
570,SBR,Pagellus bogaraveo,127059
571,PAC,Pagellus erythrinus,127060
572,RPG,Pagrus pagrus,127063
575,PDZ,Pandalidae,0
577,PRA,Pandalus borealis,107649
579,AES,Pandalus montagui,107651
585,PRV,Paralepis brevirostris,0
586,PIR,Paralepis coregonoides,126361
589,FPE,Perca fluviatilis,151353
590,PJC,Peristedion cataphractum,127233
591,PKH,Petricola pholadiformis,0
593,LAU,Petromyzon marinus,101174
597,FGN,Pholis gunnellus,126996
599,FRN,Phrynorhombus norvegicus,127147
602,GFB,Phycis blennoides,126501
604,FLE,Platichthys flesus,127141
607,PLE,Pleuronectes platessa,127143
610,POL,Pollachius pollachius,126440
611,POK,Pollachius virens,126441
612,NNP,Polyacanthonotus rissoanus,126645
614,WRF,Polyprion americanus,126998
617,OAC,Pomatoschistus minutus,126928
625,BSH,Prionace glauca,105801
628,KIT,Psammechinus miliaris,124319
630,TUR,Psetta maxima,127149
631,PTM,Pseudotriakis microdon,105805
632,BPB,Pterycombus brama,126785
633,GPT,Pungitius pungitius,126507
634,RJA,Raja alba,0
636,RJB,Raja batis,0
637,RJH,Raja brachyura,367297
638,RJI,Raja circularis,0
639,RJC,Raja clavata,105883
640,RJF,Raja fullonica,0
641,RJY,Raja fyllae,0
642,RJG,Raja hyperborea,0
643,RJK,Raja lintea,0
644,RJE,Raja microocellata,105885
645,RJM,Raja montagui,105887
646,RJN,Raja naevus,0
647,JAD,Raja nidarosiensis,0
648,RJT,Raja ocellata,0
649,RJO,Raja oxyrinchus,0
650,RJR,Raja radiata,0
651,RJS,Raja senta,0
653,RJU,Raja undulata,105891
655,RCR,Raniceps raninus,126442
656,RZV,Ranzania laevis,127406
657,REL,Regalecus glesne,126525
658,GHL,Reinhardtius hippoglossoides,127144
659,REO,Remora remora,126853
661,RCT,Rhinochimaera atlantica,105830
663,ENC,Enchelyopus cimbrius,126450
666,FRO,Rutilus rutilus,154333
667,OIL,Ruvettus pretiosus,126867
673,SAL,Salmo salar,127186
674,TRS,Salmo trutta,127187
676,ACH,Salvelinus alpinus,127188
677,SVF,Salvelinus fontinalis,154241
678,BON,Sarda sarda,127021
680,PIL,Sardina pilchardus,126421
682,MAS,Scomber japonicus,127022
683,MAC,Scomber scombrus,127023
684,SAU,Scomberesox saurus,126392
687,SCF,Scophthalmidae,0
690,BLL,Scophthalmus rhombus,127150
691,BBS,Scorpaena porcus,127247
692,RSE,Scorpaena scrofa,127248
695,SYC,Scyliorhinus canicula,105814
696,SYT,Scyliorhinus stellaris,105815
697,SYO,Scymnodon obscurus,105917
698,SYR,Scymnodon ringens,105918
701,PSO,Searsia koefoedi,0
703,REG,Sebastes marinus,0
704,REB,Sebastes mentella,127254
705,SFV,Sebastes viviparus,127255
709,AMB,Seriola dumerili,126816
711,CBR,Serranus cabrilla,127041
712,ASB,Serrivomer beani,0
715,SOS,Solea lascaris,0
716,SOL,Solea solea,127160
719,GSK,Somniosus microcephalus,105919
721,SBG,Sparus aurata,151523
723,SPL,Sphyrna lewini,105816
724,SPQ,Sphyrna tudes,105818
725,SPZ,Sphyrna zygaena,105819
727,GSS,Spinachia spinachia,126508
729,ULO,Spisula solida,140301
730,ULT,Spisula subtruncata,140302
731,BRB,Spondyliosoma cantharus,127066
732,SPR,Sprattus sprattus,126425
735,DGS,Squalus acanthias,105923
736,QUB,Squalus blainvillei,0
737,AGN,Squatina squatina,105928
740,FPP,Stizostedion lucioperca,151308
742,SBB,Stomias boa,127374
749,SGQ,Syngnathus acus,127387
750,SFR,Syngnathus rostellatus,127389
751,STQ,Syngnathus typhle,127393
752,TAS,Taractes asper,126786
753,TAL,Taractichthys longipinnis,126788
756,WHM,Tetrapturus albidus,0
758,ALB,Thunnus alalunga,127026
759,YFT,Thunnus albacares,127027
760,BET,Thunnus obesus,127028
761,BFT,Thunnus thynnus,127029
762,TLV,Thymallus thymallus,154375
764,FTE,Tinca tinca,154343
765,SQE,Todarodes sagittatus,140624
766,TTR,Torpedo marmorata,271684
767,TTO,Torpedo nobiliana,0
768,TTV,Torpedo torpedo,271691
770,POP,Trachinotus ovatus,126819
772,WEG,Trachinus draco,127082
773,TPA,Trachipterus arcticus,126527
775,HMM,Trachurus mediterraneus,126820
776,JAA,Trachurus picturatus,126821
777,HOM,Trachurus trachurus,126822
780,TJX,Trachyscorpia cristulata,127256
781,LHT,Trichiurus lepturus,127089
784,GUN,Trigla lyra,127266
788,TGM,Triglops murrayi,127205
789,TGY,Triglops nybelini,0
792,NOP,Trisopterus esmarkii,126444
793,BIB,Trisopterus luscus,126445
794,POD,Trisopterus minutus,126446
800,UMK,Umbra krameri,0
802,UCA,Umbrina canariensis,127011
803,COB,Umbrina cirrosa,127012
806,HKR,Urophycis chuss,126503
808,VIV,Vimba vimba,283150
810,AXC,Xenodermichthys copei,126714
812,SWO,Xiphias gladius,127094
813,ZGP,Zeugopterus punctatus,127151
814,JOD,Zeus faber,127427
816,ELP,Zoarces viviparus,127123
835,MAT,Mactridae,0
841,ANP,Anotopterus pharao,126334
846,IOT,Sepiola atlantica,141454
853,SCE,Pecten maximus,140712
854,QSC,Aequipecten opercularis,140687
857,CYA,Hydrolagus affinis,105825
860,REN,Sebastes fasciatus,0
864,EOI,Eledone cirrosa,0
870,DJB,Modiolus barbatus,0
871,DJO,Modiolus modiolus,140467
875,OBN,Scrobicularia plana,141424
878,UTO,Turritella communis,141872
880,HPL,Haplophryne mollis,0
889,ALX,Alepisaurus ferox,126333
890,URX,Echinoidea,123082
904,UTL,Lutraria lutraria,140295
915,SWM,Portunidae,106763
