bfa,a3_asfis,latin_name,AphiaID
3,FBM,Abramis brama,154281
4,AKL,Acantholabrus palloni,126957
6,APU,Acipenser sturio,126279
13,AFT,Agonus cataphractus,127190
16,ALC,Alepocephalus bairdii,126682
17,PHO,Alepocephalus rostratus,126684
20,OUM,Alloteuthis media,153134
21,OUL,Alloteuthis subulata,153131
22,ALV,Alopias vulpinus,105836
24,ASD,Alosa alosa,126413
25,TSD,Alosa fallax,126415
26,ALE,Alosa pseudoharengus,158669
27,AKR,Ambloplites rupestris,0
32,ABZ,Ammodytes tobianus,126752
35,CAB,Anarhichas denticulatus,126757
36,CAA,Anarhichas lupus,126758
37,CAS,Anarhichas minor,126759
39,ELE,Anguilla anguilla,126281
45,ANT,Antimora rostrata,126486
47,BSF,Aphanopus carbo,127085
49,FIM,Aphia minuta,126868
58,ARM,Arenicola marina,129868
60,ARU,Argentina silus,126715
61,ARY,Argentina sphyraena,126716
64,MGR,Argyrosomus regius,127007
66,RLI,Arnoglossus imperialis,127124
67,MSF,Arnoglossus laterna,127126
68,RNH,Arnoglossus thori,127128
86,STH,Asterias rubens,123776
88,ATB,Atherina boyeri,272027
89,ATP,Atherina presbyter,272030
91,AJQ,Aurelia aurita,0
92,BLT,Auxis rochei,127015
93,FRI,Auxis thazard,127016
94,ANV,Avocettina infans,126304
95,TRG,Balistes carolinensis,0
96,BBE,Bathylagus euryops,0
97,BYP,Bathyraja pallida,105866
98,RJQ,Bathyraja spinicauda,105868
101,GAR,Belone belone,126375
105,BHG,Benthosema glaciale,126580
107,BXD,Beryx decadactylus,126394
108,BYS,Beryx splendens,126395
109,CLX,Bivalvia,105
112,NUO,Blennius ocellaris,126761
116,BOG,Boops boops,127047
118,POC,Boreogadus saida,126433
120,CRA,Brachyura,106673
121,POA,Brama brama,126783
122,USK,Brosme brosme,126447
125,WHE,Buccinum undatum,138878
128,GSM,Buglossidium luteum,127153
132,LYY,Callionymus lyra,126792
137,CAD,Cancridae,0
138,CNT,Canthidermis maculatus,0
139,BOC,Capros aper,127419
142,FCC,Carassius carassius,154297
144,CRG,Carcinus maenas,107381
145,COZ,Cardiidae,229
156,ENX,Centrolabrus exoletus,126961
158,CEO,Centrolophus niger,126831
159,GUP,Centrophorus granulosus,105899
160,GUQ,Centrophorus squamosus,105901
161,CPU,Centrophorus uyato,0
162,CFB,Centroscyllium fabricii,105906
163,CYO,Centroscymnus coelolepis,105907
164,CYP,Centroscymnus crepidater,105908
166,CBC,Cepola rubescens,0
167,COC,Cerastoderma edule,138998
168,CBO,Ceratias holboelli,126537
169,BSK,Cetorhinus maximus,105837
171,CDN,Chauliodus sloani,127338
172,MLR,Chelon labrosus,126977
173,CMO,Chimaera monstrosa,105824
175,HXC,Chlamydoselachus anguineus,105831
178,LCM,Ciliata mustela,126448
179,GCS,Ciliata septentrionalis,126449
181,HER,Clupea harengus,126417
183,CLU,Clupeoidei,0
183,DCX,Clupeoidei,0
185,CQL,Caelorinchus caelorhincus,0
186,COE,Conger conger,126285
189,FVE,Coregonus albula,127178
190,PLN,Coregonus lavaretus,127180
191,HOU,Coregonus oxyrinchus,154238
192,COU,Coris julis,126963
193,RNG,Coryphaenoides rupestris,158960
194,YFG,Coryphoblennius galerita,126762
198,CVP,Cottunculus microps,127235
204,CSH,Crangon crangon,107552
207,CRN,Crangonidae,106782
210,KDF,Crepidula fornicata,138963
211,CRU,Crustacea,1066
214,YTN,Crystallogobius linearis,126878
