fao_code;ble_code;ff50;harbour;state
DEBUM;101;DEU-0101;BUESUM;SH_N
DEHUS;102;DEU-0102;HUSUM;SH_N
DEGLU;103;DEU-0103;GLUECKSTADT;SH_N
DELIS;104;DEU-0104;LIST AUF SYLT;SH_N
DETOE;105;DEU-0105;TOENNING;SH_N
DEHGL;106;DEU-0106;HELGOLAND;SH_N
DEFR1;107;DEU-0107;FRIEDRICHSKOOG;SH_N
DEPEL;108;DEU-0108;PELLWORM;SH_N
DESE2;109;DEU-0109;SEESTER;SH_N
DEWYK;110;DEU-0110;WYK AUF FOEHR;SH_N
DEAMY;111;DEU-0111;AMRUM;SH_N
DEEIK;112;DEU-0112;EIDERLOCKSPERRWERK;SH_N
DESCY;113;DEU-0113;SCHLUETTSIEL;SH_N
DEPSH;114;DEU-0114;ST.-PETER-ORDING;SH_N
DEHN1;115;DEU-0115;HENNSTEDT;SH_N
DEBEI;117;DEU-0117;BEIDENFLETH;SH_N
DEKA3;118;DEU-0118;KASENORT;SH_N
DEKOL;119;DEU-0119;KOLLMAR;SH_N
DEUET;120;DEU-0120;UETERSEN;SH_N
DEKZD;121;DEU-0121;KREUZDEICH;SH_N
DEMNK;122;DEU-0122;MUNKMARSCH;SH_N
DEWT1;123;DEU-0123;WITTDUEN;SH_N
DEHGE;124;DEU-0124;HOOGE;SH_N
DEHRM;125;DEU-0125;HOERNUM-SYLT;SH_N
DENOR;126;DEU-0126;NORDSTRAND;SH_N
DEDAG;127;DEU-0127;DAGEBUELL;SH_N
DEBG4;128;DEU-0128;BRUNSBUETTELKOOG;SH_N
DEBKY;129;DEU-0129;BROKDORF;SH_N
DEMEL;130;DEU-0130;MELDORF;SH_N
DENEF;131;DEU-0131;NEUFELD;SH_N
DEBRB;132;DEU-0132;BRUNSBUETTEL;SH_N
DEWEW;133;DEU-0133;WEWELSFLETH;SH_N
DEBL5;134;DEU-0134;BAHRENFLETH;SH_N
DEWED;135;DEU-0135;WEDEL;SH_N
DEITZ;136;DEU-0136;ITZEHOE;SH_N
DENFL;137;DEU-0137;NEUENDORF-FLEIEN;SH_N
DEKLV;138;DEU-0138;KLEVENDEICH;SH_N
DEHQN;139;DEU-0139;HETLINGEN;SH_N
DEBL1;140;DEU-0140;BIELENBERG;SH_N
DEHLO;141;DEU-0141;HASELDORF;SH_N
DEHOD;142;DEU-0142;HOCHDONN;SH_N
DETTU;143;DEU-0143;TETENBUELL;SH_N
DEKEL;201;DEU-0201;KIEL;SH_O
DELSP;202;DEU-0202;LUEBECK-SCHLUTUP;SH_O
DETRV;203;DEU-0203;TRAVEMUENDE;SH_O
DENDC;204;DEU-0204;NIENDORF;SH_O
DENDT;205;DEU-0205;NEUSTADT (HOLSTEIN);SH_O
DEBSK;206;DEU-0206;BURGSTAAKEN;SH_O
DEHHF;207;DEU-0207;HEILIGENHAFEN;SH_O
DEECK;208;DEU-0208;ECKERNFOERDE;SH_O
DEKAP;209;DEU-0209;KAPPELN;SH_O
DEMAO;210;DEU-0210;MAASHOLM;SH_O
DEHFK;211;DEU-0211;HAFFKRUG;SH_O
DELBC;212;DEU-0212;LUEBECK;SH_O
DEFLF;213;DEU-0213;FLENSBURG;SH_O
DEGZZ;214;DEU-0214;GROEMITZ;SH_O
DETMS;215;DEU-0215;TIMMENDORF;SH_O
DEGRO;216;DEU-0216;GROSSENBRODE;SH_O
DESLS;217;DEU-0217;SCHLESWIG;SH_O
DEGTM;218;DEU-0218;LUEBECK-GOTHMUND;SH_O
DEHED;219;DEU-0219;HEIKENDORF;SH_O
DELAB;220;DEU-0220;LABOE;SH_O
DESN2;221;DEU-0221;STEIN;SH_O
DESSG;222;DEU-0222;SCHOENBERGER STRAND;SH_O
DE4AV;223;DEU-0223;ARNIS;SH_O
DEKGA;224;DEU-0224;KRONSGAARD;SH_O
DEWAY;225;DEU-0225;WACKERBALLIG;SH_O
DELGY;227;DEU-0227;LANGBALLIGAU;SH_O
DESIX;228;DEU-0228;SIERKSDORF;SH_O
DEFRO;229;DEU-0229;FRIEDRICHSORT;SH_O
DERDX;230;DEU-0230;RADELAND;SH_O
DEHUC;231;DEU-0231;HUBERTSBERG;SH_O
DEKEY;232;DEU-0232;KETELSBY;SH_O
DEHWC;233;DEU-0233;HOHWACHT;SH_O
DELPP;234;DEU-0234;LIPPE;SH_O
DEORT;235;DEU-0235;ORTH;SH_O
DEWU1;236;DEU-0236;WULFEN;SH_O
DEWML;237;DEU-0237;WESTERMARKELSDORF;SH_O
DESKP;238;DEU-0238;STRUKKAMP;SH_O
DEKEE;239;DEU-0239;KELLENHUSEN;SH_O
DEWEJ;240;DEU-0240;WENDTORF;SH_O
DEDAP;242;DEU-0242;DAMP;SH_O
DEGCK;243;DEU-0243;GLUECKSBURG;SH_O
DEBKJ;244;DEU-0244;BOCKHOLMWIK;SH_O
DENKR;245;DEU-0245;NEUKIRCHEN;SH_O
DESTV;246;DEU-0246;STEINBERGHAFF;SH_O
DEORH;247;DEU-0247;OHRFELDHAFF;SH_O
DEFHO;248;DEU-0248;FALSHOEFT;SH_O
DELIZ;249;DEU-0249;LINDAUNIS;SH_O
DESC6;250;DEU-0250;SCHUBYSTRAND;SH_O
DEDCT;251;DEU-0251;DRECHT;SH_O
DESTD;252;DEU-0252;STRANDE;SH_O
DELHZ;253;DEU-0253;LANGHOLZ;SH_O
DEDHM;254;DEU-0254;DAHME;SH_O
DESUU;255;DEU-0255;SUETEL;SH_O
DEMSY;256;DEU-0256;MEESCHENDORF;SH_O
DEPRS;257;DEU-0257;PRESEN;SH_O
DEPUT;258;DEU-0258;PUTTGARDEN;SH_O
DELMK;259;DEU-0259;LEMKENHAFEN;SH_O
DEB02;260;DEU-0260;BROEK;SH_O
DECUX;301;DEU-0301;CUXHAVEN;NS
DEEME;302;DEU-0302;EMDEN;NS
DESKW;303;DEU-0303;SPIEKA-NEUFELD;NS
DENOE;304;DEU-0304;NORDDEICH;NS
DEWRY;305;DEU-0305;WREMEN;NS
DEDRM;306;DEU-0306;DORUM;NS
DEBMK;307;DEU-0307;BORKUM;NS
DEGRE;308;DEU-0308;GREETSIEL;NS
DENHS;309;DEU-0309;NEUHARLINGERSIEL;NS
DEHOO;310;DEU-0310;HOOKSIEL;NS
DEFES;311;DEU-0311;FEDDERWARDERSIEL;NS
DEVAR;312;DEU-0312;VAREL;NS
DEACC;313;DEU-0313;ACCUMERSIEL;NS
DEHSX;314;DEU-0314;HARLESIEL;NS
DEDIT;315;DEU-0315;DITZUM;NS
DEBKE;316;DEU-0316;BRAKE;NS
DEPGM;317;DEU-0317;POGUM;NS
DEBEN;321;DEU-0321;BENSERSIEL;NS
DEDAN;322;DEU-0322;DANGAST;NS
DEGEV;326;DEU-0326;GEVERSDORF;NS
DEHOS;330;DEU-0330;HORUMERSIEL;NS
DEBRV;402;DEU-0402;BREMERHAVEN;HB
DEHAM;501;DEU-0501;HAMBURG;HH
DERSK;601;DEU-0601;ROSTOCK;MV
