le_index,we_index,length_class,numbers_length,length_unit,comments
180,28,23.75,38,1/2 cm,
181,28,24.25,30,1/2 cm,
182,28,24.75,22,1/2 cm,
183,28,25.25,16,1/2 cm,
184,28,25.75,11,1/2 cm,
185,28,26.25,7,1/2 cm,
186,28,26.75,10,1/2 cm,
187,28,27.25,9,1/2 cm,
188,28,27.75,9,1/2 cm,
189,28,28.25,12,1/2 cm,
190,28,28.75,11,1/2 cm,
191,28,29.25,5,1/2 cm,
192,28,29.75,4,1/2 cm,
193,28,30.75,1,1/2 cm,
194,28,31.25,1,1/2 cm,
195,29,7.75,1,1/2 cm,
196,29,8.25,10,1/2 cm,
197,29,8.75,5,1/2 cm,
198,29,9.25,3,1/2 cm,
199,29,9.75,3,1/2 cm,
200,29,12.75,1,1/2 cm,
201,29,13.25,3,1/2 cm,
202,33,19.5,1,cm below,
203,34,28.5,1,cm below,
204,34,30.5,1,cm below,
205,34,32.5,2,cm below,
206,34,33.5,5,cm below,
207,34,34.5,5,cm below,
208,34,35.5,6,cm below,
209,34,36.5,6,cm below,
210,34,37.5,5,cm below,
211,34,38.5,5,cm below,
212,34,39.5,9,cm below,
213,34,40.5,5,cm below,
214,34,41.5,1,cm below,
215,34,42.5,2,cm below,
216,34,44.5,4,cm below,
217,34,45.5,1,cm below,
218,34,47.5,2,cm below,
219,34,48.5,1,cm below,
220,34,51.5,1,cm below,
221,35,21.5,1,cm below,
222,36,22.5,1,cm below,
223,36,23.5,2,cm below,
224,36,25.5,1,cm below,
225,36,26.5,1,cm below,
226,36,27.5,1,cm below,
227,36,29.5,1,cm below,
228,36,30.5,3,cm below,
229,37,22.5,1,cm below,
230,41,26.5,1,cm below,
231,41,27.5,1,cm below,
232,41,28.5,1,cm below,
233,41,29.5,2,cm below,
234,41,32.5,1,cm below,
235,41,33.5,1,cm below,
236,41,35.5,1,cm below,
237,44,17.5,2,cm below,
238,44,18.5,1,cm below,
239,44,19.5,1,cm below,
240,44,20.5,1,cm below,
241,44,24.5,2,cm below,
242,46,26.5,1,cm below,
243,48,40.5,2,cm below,
244,49,25.5,1,cm below,
245,49,28.5,1,cm below,
246,49,30.5,1,cm below,
247,51,20.5,1,cm below,
248,52,15.5,4,cm below,
249,52,16.5,5,cm below,
250,52,17.5,5,cm below,
251,52,18.5,10,cm below,
252,52,19.5,6,cm below,
253,52,20.5,1,cm below,
254,52,21.5,1,cm below,
255,52,22.5,2,cm below,
256,52,33.5,1,cm below,
257,53,16.5,1,cm below,
258,53,18.5,3,cm below,
259,53,20.5,1,cm below,
260,53,21.5,1,cm below,
261,53,26.5,2,cm below,
262,53,27.5,4,cm below,
263,53,28.5,2,cm below,
264,53,29.5,2,cm below,
265,53,30.5,1,cm below,
266,53,31.5,2,cm below,
267,53,32.5,2,cm below,
268,53,33.5,2,cm below,
269,53,34.5,1,cm below,
270,54,17.5,3,cm below,
271,54,18.5,4,cm below,
272,54,19.5,6,cm below,
273,54,20.5,6,cm below,
274,54,21.5,6,cm below,
275,54,24.5,1,cm below,
276,55,19.5,1,cm below,
277,55,24.5,1,cm below,
278,56,19.5,1,cm below,
279,57,18.5,1,cm below,
280,57,21.5,1,cm below,
281,58,12.5,1,cm below,
282,61,23.5,1,cm below,
283,61,25.5,3,cm below,
284,61,26.5,1,cm below,
285,61,28.5,4,cm below,
286,61,29.5,1,cm below,
287,62,21.5,1,cm below,
288,64,51.5,1,cm below,
289,67,17.5,1,cm below,
290,68,15.5,1,cm below,
291,68,16.5,1,cm below,
292,68,17.5,4,cm below,
293,68,18.5,12,cm below,
294,68,19.5,11,cm below,
295,68,20.5,10,cm below,
296,68,21.5,3,cm below,
297,69,34.5,1,cm below,
298,71,21.5,1,cm below,
299,73,32.5,1,cm below,
300,75,20.5,2,cm below,
301,76,27.5,1,cm below,
302,77,15.5,1,cm below,
303,78,25.5,1,cm below,
304,79,17.5,2,cm below,
305,79,18.5,1,cm below,
306,79,19.5,2,cm below,
307,79,21.5,2,cm below,
308,79,23.5,3,cm below,
309,79,24.5,1,cm below,
310,79,25.5,2,cm below,
311,80,42.5,1,cm below,
312,80,43.5,1,cm below,
313,80,48.5,1,cm below,
314,80,49.5,1,cm below,
315,80,50.5,4,cm below,
316,80,51.5,4,cm below,
317,80,52.5,3,cm below,
318,80,53.5,6,cm below,
319,80,54.5,5,cm below,
320,80,55.5,10,cm below,
321,80,56.5,17,cm below,
322,80,57.5,20,cm below,
323,80,58.5,22,cm below,
324,80,59.5,20,cm below,
325,80,60.5,11,cm below,
326,80,61.5,11,cm below,
327,80,62.5,11,cm below,
328,80,63.5,6,cm below,
329,80,64.5,3,cm below,
330,80,65.5,3,cm below,
331,80,66.5,4,cm below,
332,80,67.5,1,cm below,
333,80,69.5,1,cm below,
334,80,71.5,1,cm below,
335,85,40.5,3,cm below,
336,85,42.5,3,cm below,
337,85,43.5,4,cm below,
338,85,44.5,3,cm below,
339,85,45.5,6,cm below,
340,85,46.5,5,cm below,
341,85,47.5,5,cm below,
342,85,48.5,10,cm below,
343,85,49.5,8,cm below,
344,85,50.5,10,cm below,
345,85,51.5,11,cm below,
346,85,52.5,8,cm below,
347,85,53.5,11,cm below,
348,85,54.5,7,cm below,
349,85,55.5,2,cm below,
350,85,56.5,7,cm below,
351,85,57.5,2,cm below,
352,85,58.5,1,cm below,
353,85,59.5,3,cm below,
354,85,60.5,1,cm below,
355,85,61.5,3,cm below,
356,85,62.5,1,cm below,
357,86,29.5,2,cm below,
358,86,30.5,4,cm below,
359,86,31.5,7,cm below,
360,86,32.5,6,cm below,
361,86,33.5,5,cm below,
362,86,34.5,4,cm below,
363,86,35.5,1,cm below,
364,86,36.5,2,cm below,
365,86,37.5,1,cm below,
366,94,52.25,1,1/2 cm,
367,97,56.5,1,cm below,
368,97,58.5,1,cm below,
369,97,61.5,1,cm below,
370,88,40.5,2,cm below,
371,88,41.5,1,cm below,
372,88,43.5,3,cm below,
373,88,44.5,1,cm below,
374,88,45.5,1,cm below,
375,88,46.5,3,cm below,
376,88,47.5,1,cm below,
377,88,49.5,6,cm below,
378,88,50.5,2,cm below,
379,88,51.5,3,cm below,
380,88,52.5,5,cm below,
381,88,53.5,7,cm below,
382,88,54.5,2,cm below,
383,88,55.5,6,cm below,
384,88,56.5,4,cm below,
385,88,57.5,4,cm below,
386,88,58.5,5,cm below,
387,88,59.5,1,cm below,
388,88,60.5,1,cm below,
389,88,61.5,1,cm below,
390,89,29.5,61,cm below,
391,89,30.5,62,cm below,
392,89,31.5,73,cm below,
393,89,32.5,56,cm below,
394,89,33.5,32,cm below,
395,89,34.5,13,cm below,
396,89,35.5,15,cm below,
397,89,36.5,6,cm below,
398,89,37.5,4,cm below,
399,89,38.5,1,cm below,
400,89,39.5,1,cm below,
401,99,25.5,5,cm below,
402,99,26.5,12,cm below,
403,100,50.5,1,cm below,
404,91,47.5,2,cm below,
405,91,49.5,5,cm below,
406,91,50.5,2,cm below,
407,91,51.5,4,cm below,
408,91,52.5,3,cm below,
409,91,53.5,6,cm below,
410,91,54.5,4,cm below,
411,91,55.5,3,cm below,
412,91,56.5,2,cm below,
413,91,57.5,1,cm below,
414,91,58.5,3,cm below,
415,91,59.5,1,cm below,
416,91,61.5,1,cm below,
417,91,62.5,1,cm below,
418,91,64.5,1,cm below,
419,91,65.5,1,cm below,
420,91,69.5,1,cm below,
421,92,31.5,1,cm below,
422,92,32.5,3,cm below,
423,92,33.5,1,cm below,
424,92,34.5,1,cm below,
425,92,38.5,1,cm below,
426,103,47.5,1,cm below,
427,103,53.5,1,cm below,
428,103,59.5,1,cm below,
429,104,38.5,1,cm below,
430,104,41.5,1,cm below,
431,104,42.5,1,cm below,
432,104,43.5,1,cm below,
433,104,44.5,2,cm below,
434,104,46.5,1,cm below,
435,104,47.5,2,cm below,
436,104,48.5,1,cm below,
437,104,51.5,1,cm below,
438,104,52.5,2,cm below,
439,106,28.5,4,cm below,
440,106,30.5,3,cm below,
441,106,31.5,1,cm below,
442,106,34.5,5,cm below,
443,113,21.5,1,cm below,
444,108,28.5,22,cm below,
445,108,29.5,20,cm below,
446,108,30.5,20,cm below,
447,108,31.5,20,cm below,
448,108,32.5,20,cm below,
449,108,33.5,10,cm below,
450,108,34.5,9,cm below,
451,108,35.5,2,cm below,
452,108,36.5,2,cm below,
453,109,32.5,1,cm below,
454,109,33.5,1,cm below,
455,116,25.25,3,1/2 cm,
456,116,25.75,7,1/2 cm,
457,116,26.25,15,1/2 cm,
458,116,26.75,32,1/2 cm,
459,116,27.25,45,1/2 cm,
460,116,27.75,83,1/2 cm,
461,116,28.25,83,1/2 cm,
462,116,28.75,55,1/2 cm,
463,116,29.25,29,1/2 cm,
464,116,29.75,10,1/2 cm,
465,116,30.25,6,1/2 cm,
466,116,30.75,3,1/2 cm,
467,116,32.75,1,1/2 cm,
468,118,25.25,1,1/2 cm,
469,118,25.75,3,1/2 cm,
470,118,26.25,13,1/2 cm,
471,118,26.75,36,1/2 cm,
472,118,27.25,43,1/2 cm,
473,118,27.75,62,1/2 cm,
474,118,28.25,79,1/2 cm,
475,118,28.75,38,1/2 cm,
476,118,29.25,34,1/2 cm,
477,118,29.75,27,1/2 cm,
478,118,30.25,15,1/2 cm,
479,118,30.75,10,1/2 cm,
480,118,31.25,6,1/2 cm,
481,118,31.75,2,1/2 cm,
482,120,25.75,1,1/2 cm,
483,120,26.25,7,1/2 cm,
484,120,26.75,13,1/2 cm,
485,120,27.25,24,1/2 cm,
486,120,27.75,47,1/2 cm,
487,120,28.25,74,1/2 cm,
488,120,28.75,63,1/2 cm,
489,120,29.25,59,1/2 cm,
490,120,29.75,30,1/2 cm,
491,120,30.25,15,1/2 cm,
492,120,30.75,7,1/2 cm,
493,120,31.25,4,1/2 cm,
494,120,31.75,1,1/2 cm,
495,122,25.25,2,1/2 cm,
496,122,25.75,5,1/2 cm,
497,122,26.25,16,1/2 cm,
498,122,26.75,27,1/2 cm,
499,122,27.25,70,1/2 cm,
500,122,27.75,92,1/2 cm,
501,122,28.25,71,1/2 cm,
502,122,28.75,61,1/2 cm,
503,122,29.25,22,1/2 cm,
504,122,29.75,9,1/2 cm,
505,122,30.25,8,1/2 cm,
506,122,30.75,6,1/2 cm,
507,122,31.25,1,1/2 cm,
508,122,31.75,1,1/2 cm,
509,124,25.75,3,1/2 cm,
510,124,26.25,15,1/2 cm,
511,124,26.75,33,1/2 cm,
512,124,27.25,34,1/2 cm,
513,124,27.75,59,1/2 cm,
514,124,28.25,71,1/2 cm,
515,124,28.75,68,1/2 cm,
516,124,29.25,42,1/2 cm,
517,124,29.75,19,1/2 cm,
518,124,30.25,11,1/2 cm,
519,124,30.75,2,1/2 cm,
520,124,31.25,1,1/2 cm,
521,124,31.75,2,1/2 cm,
522,124,32.25,1,1/2 cm,
523,126,25.25,3,1/2 cm,
524,126,25.75,10,1/2 cm,
525,126,26.25,21,1/2 cm,
526,126,26.75,44,1/2 cm,
527,126,27.25,61,1/2 cm,
528,126,27.75,76,1/2 cm,
529,126,28.25,46,1/2 cm,
530,126,28.75,43,1/2 cm,
531,126,29.25,21,1/2 cm,
532,126,29.75,26,1/2 cm,
533,126,30.25,18,1/2 cm,
534,126,30.75,9,1/2 cm,
535,126,31.25,3,1/2 cm,
536,126,31.75,3,1/2 cm,
537,126,32.25,2,1/2 cm,
538,126,32.75,1,1/2 cm,
539,128,38.5,2,cm below,
540,128,39.5,1,cm below,
541,128,40.5,1,cm below,
542,128,42.5,2,cm below,
543,128,43.5,4,cm below,
544,128,44.5,4,cm below,
545,128,45.5,10,cm below,
546,128,46.5,10,cm below,
547,128,47.5,8,cm below,
548,128,48.5,19,cm below,
549,128,49.5,18,cm below,
550,128,50.5,21,cm below,
551,128,51.5,8,cm below,
552,128,52.5,10,cm below,
553,128,53.5,15,cm below,
554,128,54.5,12,cm below,
555,128,55.5,9,cm below,
556,128,56.5,9,cm below,
557,128,57.5,8,cm below,
558,128,58.5,2,cm below,
559,128,59.5,3,cm below,
560,128,61.5,1,cm below,
561,128,62.5,1,cm below,
562,128,66.5,1,cm below,
563,128,74.5,1,cm below,
564,129,25.5,20,cm below,
565,129,26.5,20,cm below,
566,129,27.5,26,cm below,
567,129,28.5,28,cm below,
568,129,29.5,38,cm below,
569,129,30.5,31,cm below,
570,129,31.5,16,cm below,
571,129,32.5,6,cm below,
572,129,33.5,10,cm below,
573,129,34.5,3,cm below,
574,129,35.5,1,cm below,
575,129,36.5,2,cm below,
576,130,26.5,4,cm below,
577,130,27.5,5,cm below,
578,130,28.5,4,cm below,
579,130,29.5,7,cm below,
580,130,30.5,7,cm below,
581,130,31.5,7,cm below,
582,130,32.5,1,cm below,
583,130,33.5,5,cm below,
584,130,35.5,1,cm below,
585,130,36.5,1,cm below,
586,131,26.5,1,cm below,
587,131,29.5,1,cm below,
588,131,30.5,1,cm below,
589,131,31.5,1,cm below,
590,132,23.5,3,cm below,
591,132,24.5,6,cm below,
592,133,22.5,1,cm below,
593,133,24.5,1,cm below,
594,133,25.5,1,cm below,
595,134,29.5,1,cm below,
596,135,37.5,1,cm below,
597,135,39.5,3,cm below,
598,135,40.5,1,cm below,
599,135,42.5,1,cm below,
600,135,43.5,1,cm below,
601,135,44.5,1,cm below,
602,135,45.5,5,cm below,
603,135,46.5,4,cm below,
604,135,47.5,4,cm below,
605,135,48.5,7,cm below,
606,135,49.5,10,cm below,
607,135,50.5,13,cm below,
608,135,51.5,5,cm below,
609,135,52.5,12,cm below,
610,135,53.5,3,cm below,
611,135,54.5,8,cm below,
612,135,55.5,8,cm below,
613,135,56.5,14,cm below,
614,135,57.5,9,cm below,
615,135,58.5,4,cm below,
616,135,59.5,3,cm below,
617,135,60.5,1,cm below,
618,135,61.5,1,cm below,
619,135,63.5,1,cm below,
620,136,25.5,6,cm below,
621,136,26.5,23,cm below,
622,136,27.5,28,cm below,
623,136,28.5,35,cm below,
624,136,29.5,42,cm below,
625,136,30.5,56,cm below,
626,136,31.5,62,cm below,
627,136,32.5,41,cm below,
628,136,33.5,42,cm below,
629,136,34.5,14,cm below,
630,136,35.5,8,cm below,
631,136,36.5,4,cm below,
632,136,37.5,1,cm below,
633,137,29.5,1,cm below,
634,138,30.5,3,cm below,
635,138,39.5,1,cm below,
636,139,27.5,1,cm below,
637,139,31.5,1,cm below,
638,140,23.5,1,cm below,
639,140,24.5,2,cm below,
640,141,34.5,2,cm below,
641,141,36.5,1,cm below,
642,142,20.5,1,cm below,
643,142,21.5,6,cm below,
644,142,22.5,12,cm below,
645,142,23.5,6,cm below,
646,142,24.5,14,cm below,
647,142,25.5,14,cm below,
648,142,26.5,11,cm below,
649,142,27.5,4,cm below,
650,142,28.5,2,cm below,
651,142,29.5,4,cm below,
652,143,19.5,1,cm below,
653,145,27.5,1,cm below,
654,146,25.5,2,cm below,
655,146,26.5,2,cm below,
656,146,27.5,1,cm below,
657,146,28.5,4,cm below,
658,146,29.5,2,cm below,
659,146,30.5,3,cm below,
660,146,31.5,3,cm below,
661,146,32.5,2,cm below,
662,146,33.5,1,cm below,
663,146,34.5,3,cm below,
664,146,38.5,1,cm below,
665,146,40.5,1,cm below,
666,147,26.5,5,cm below,
667,147,27.5,13,cm below,
668,147,28.5,11,cm below,
669,147,29.5,14,cm below,
670,147,30.5,14,cm below,
671,147,31.5,13,cm below,
672,147,32.5,13,cm below,
673,147,33.5,4,cm below,
674,147,34.5,1,cm below,
675,147,35.5,3,cm below,
676,147,37.5,1,cm below,
677,147,41.5,1,cm below,
678,147,42.5,2,cm below,
679,147,44.5,1,cm below,
680,148,31.5,1,cm below,
681,148,32.5,1,cm below,
682,148,35.5,1,cm below,
683,148,43.5,1,cm below,
684,149,35.5,2,cm below,
685,149,36.5,1,cm below,
686,149,37.5,2,cm below,
687,149,39.5,4,cm below,
688,149,40.5,5,cm below,
689,149,41.5,8,cm below,
690,149,42.5,8,cm below,
691,149,43.5,9,cm below,
692,149,44.5,10,cm below,
693,149,45.5,28,cm below,
694,149,46.5,20,cm below,
695,149,47.5,37,cm below,
696,149,48.5,33,cm below,
697,149,49.5,24,cm below,
698,149,50.5,22,cm below,
699,149,51.5,20,cm below,
700,149,52.5,26,cm below,
701,149,53.5,10,cm below,
702,149,54.5,6,cm below,
703,149,55.5,12,cm below,
704,149,56.5,2,cm below,
705,149,57.5,9,cm below,
706,149,58.5,7,cm below,
707,149,59.5,2,cm below,
708,149,60.5,2,cm below,
709,149,62.5,1,cm below,
710,149,72.5,1,cm below,
711,150,24.5,1,cm below,
712,151,22.5,1,cm below,
713,151,23.5,3,cm below,
714,151,24.5,2,cm below,
715,151,25.5,7,cm below,
716,152,22.5,1,cm below,
717,152,23.5,3,cm below,
718,152,24.5,3,cm below,
719,152,25.5,4,cm below,
720,152,26.5,2,cm below,
721,152,27.5,1,cm below,
722,152,28.5,1,cm below,
723,153,29.5,1,cm below,
724,154,42.5,1,cm below,
725,154,44.5,2,cm below,
726,154,47.5,1,cm below,
727,154,48.5,2,cm below,
728,154,49.5,2,cm below,
729,154,50.5,1,cm below,
730,154,51.5,2,cm below,
731,154,52.5,8,cm below,
732,154,53.5,7,cm below,
733,154,54.5,7,cm below,
734,154,55.5,9,cm below,
735,154,56.5,2,cm below,
736,154,57.5,6,cm below,
737,154,58.5,6,cm below,
738,154,59.5,5,cm below,
739,154,60.5,3,cm below,
740,154,62.5,1,cm below,
741,154,65.5,1,cm below,
742,155,30.5,5,cm below,
743,155,31.5,1,cm below,
744,155,32.5,1,cm below,
745,155,33.5,1,cm below,
746,155,34.5,1,cm below,
747,157,64.5,1,cm below,
748,175,30.5,1,cm below,
749,175,33.5,1,cm below,
750,175,38.5,2,cm below,
751,177,22.5,5,cm below,
752,177,23.5,2,cm below,
753,177,24.5,1,cm below,
754,177,25.5,1,cm below,
755,177,26.5,1,cm below,
756,177,28.5,1,cm below,
757,179,39.5,1,cm below,
758,159,41.5,1,cm below,
759,159,42.5,1,cm below,
760,159,48.5,2,cm below,
761,159,49.5,1,cm below,
762,159,50.5,1,cm below,
763,159,51.5,6,cm below,
764,159,52.5,1,cm below,
765,159,53.5,4,cm below,
766,159,54.5,5,cm below,
767,159,55.5,5,cm below,
768,159,56.5,8,cm below,
769,159,57.5,4,cm below,
770,159,58.5,3,cm below,
771,159,59.5,1,cm below,
772,159,60.5,1,cm below,
773,159,62.5,4,cm below,
774,180,36.5,1,cm below,
775,181,25.5,1,cm below,
776,181,26.5,1,cm below,
777,181,27.5,1,cm below,
778,181,29.5,1,cm below,
779,161,48.5,2,cm below,
780,161,51.5,3,cm below,
781,161,52.5,3,cm below,
782,161,53.5,4,cm below,
783,161,55.5,6,cm below,
784,161,56.5,5,cm below,
785,161,57.5,6,cm below,
786,161,58.5,2,cm below,
787,161,59.5,1,cm below,
788,161,60.5,2,cm below,
789,161,61.5,1,cm below,
790,161,62.5,2,cm below,
791,161,65.5,1,cm below,
792,162,30.5,5,cm below,
793,162,31.5,5,cm below,
794,162,32.5,5,cm below,
795,162,34.5,1,cm below,
796,164,60.5,1,cm below,
797,182,28.5,1,cm below,
798,184,35.5,3,cm below,
799,184,36.5,2,cm below,
800,184,38.5,1,cm below,
801,165,44.5,1,cm below,
802,165,46.5,1,cm below,
803,165,49.5,1,cm below,
804,165,50.5,3,cm below,
805,165,51.5,2,cm below,
806,165,52.5,2,cm below,
807,165,54.5,1,cm below,
808,165,55.5,7,cm below,
809,165,56.5,1,cm below,
810,165,57.5,2,cm below,
811,165,58.5,1,cm below,
812,165,61.5,2,cm below,
813,186,25.5,1,cm below,
814,187,24.5,1,cm below,
815,188,36.5,1,cm below,
816,189,22.5,1,cm below,
817,189,24.5,2,cm below,
818,170,40.5,3,cm below,
819,170,41.5,3,cm below,
820,170,42.5,2,cm below,
821,170,43.5,1,cm below,
822,170,44.5,1,cm below,
823,170,45.5,4,cm below,
824,170,46.5,1,cm below,
825,170,47.5,2,cm below,
826,170,48.5,6,cm below,
827,170,49.5,7,cm below,
828,170,50.5,5,cm below,
829,170,51.5,12,cm below,
830,170,52.5,12,cm below,
831,170,53.5,6,cm below,
832,170,54.5,8,cm below,
833,170,55.5,4,cm below,
834,170,56.5,1,cm below,
835,170,57.5,4,cm below,
836,170,58.5,4,cm below,
837,170,60.5,1,cm below,
838,170,64.5,1,cm below,
839,170,65.5,2,cm below,
840,172,30.5,1,cm below,
841,172,31.5,2,cm below,
842,172,32.5,1,cm below,
843,190,53.5,1,cm below,
844,191,35.5,1,cm below,
845,191,39.5,2,cm below,
846,192,48.5,1,cm below,
847,194,36.5,1,cm below,
848,195,34.5,1,cm below,
849,195,41.5,1,cm below,
850,197,44.5,1,cm below,
851,197,47.5,1,cm below,
852,199,31.5,1,cm below,
853,199,33.5,2,cm below,
854,199,34.5,1,cm below,
855,199,35.5,2,cm below,
856,199,36.5,1,cm below,
857,199,38.5,1,cm below,
858,199,39.5,1,cm below,
859,199,40.5,1,cm below,
860,199,41.5,1,cm below,
861,199,42.5,2,cm below,
862,199,44.5,1,cm below,
863,200,41.5,1,cm below,
864,201,30.5,8,cm below,
865,201,31.5,8,cm below,
866,201,32.5,3,cm below,
867,201,33.5,8,cm below,
868,201,34.5,7,cm below,
869,201,35.5,2,cm below,
870,201,36.5,8,cm below,
871,201,37.5,2,cm below,
872,201,38.5,2,cm below,
873,201,39.5,1,cm below,
874,201,40.5,3,cm below,
875,201,41.5,1,cm below,
876,201,43.5,2,cm below,
877,202,15.5,2,cm below,
878,202,16.5,6,cm below,
879,202,17.5,20,cm below,
880,202,18.5,21,cm below,
881,202,19.5,19,cm below,
882,202,20.5,3,cm below,
883,202,21.5,3,cm below,
884,202,22.5,3,cm below,
885,202,36.5,1,cm below,
886,202,39.5,1,cm below,
887,202,42.5,1,cm below,
888,204,25.5,1,cm below,
889,205,23.5,1,cm below,
890,205,24.5,1,cm below,
891,207,23.5,1,cm below,
892,207,26.5,5,cm below,
893,207,27.5,6,cm below,
894,207,28.5,7,cm below,
895,207,29.5,13,cm below,
896,208,25.25,1,1/2 cm,
897,208,26.25,5,1/2 cm,
898,208,26.75,11,1/2 cm,
899,208,27.25,35,1/2 cm,
900,208,27.75,43,1/2 cm,
901,208,28.25,78,1/2 cm,
902,208,28.75,87,1/2 cm,
