le_index,we_index,length_class,numbers_length,length_unit,comments
1,1,25.5,22,cm below,
2,1,26.5,45,cm below,
3,1,27.5,89,cm below,
4,1,28.5,106,cm below,
5,1,29.5,88,cm below,
6,1,30.5,34,cm below,
7,1,31.5,21,cm below,
8,1,32.5,19,cm below,
9,1,33.5,17,cm below,
10,1,34.5,11,cm below,
11,1,35.5,4,cm below,
12,1,37.5,1,cm below,
13,1,38.5,2,cm below,
14,2,24.5,8,cm below,
15,3,35.5,25,cm below,
16,3,36.5,27,cm below,
17,3,37.5,24,cm below,
18,3,38.5,23,cm below,
19,3,39.5,21,cm below,
20,3,40.5,27,cm below,
21,3,41.5,22,cm below,
22,3,42.5,26,cm below,
23,3,43.5,18,cm below,
24,3,44.5,9,cm below,
25,3,45.5,15,cm below,
26,3,46.5,10,cm below,
27,3,47.5,6,cm below,
28,3,48.5,5,cm below,
29,3,49.5,3,cm below,
30,3,50.5,1,cm below,
31,3,51.5,1,cm below,
32,4,26.5,2,cm below,
33,5,25.5,2,cm below,
34,5,26.5,4,cm below,
35,5,27.5,5,cm below,
36,5,28.5,10,cm below,
37,5,29.5,7,cm below,
38,5,30.5,5,cm below,
39,5,31.5,3,cm below,
40,5,32.5,3,cm below,
41,5,33.5,1,cm below,
42,5,34.5,1,cm below,
43,5,36.5,2,cm below,
44,5,38.5,1,cm below,
45,6,26.5,56,cm below,
46,6,27.5,53,cm below,
47,6,28.5,43,cm below,
48,6,29.5,43,cm below,
49,6,30.5,36,cm below,
50,6,31.5,24,cm below,
51,6,32.5,12,cm below,
52,6,33.5,11,cm below,
53,6,34.5,8,cm below,
54,6,35.5,1,cm below,
55,6,36.5,3,cm below,
56,7,35.5,1,cm below,
57,8,24.25,2,1/2 cm,
58,8,26.75,1,1/2 cm,
59,9,28.5,2,cm below,
60,9,30.5,3,cm below,
61,9,31.5,3,cm below,
62,9,32.5,5,cm below,
63,9,33.5,7,cm below,
64,9,34.5,22,cm below,
65,10,24.5,1,cm below,
66,11,19.5,1,cm below,
67,11,28.5,2,cm below,
68,12,24.5,1,cm below,
69,13,23.5,1,cm below,
70,13,24.5,6,cm below,
71,13,25.5,42,cm below,
72,14,22.5,1,cm below,
73,14,25.5,3,cm below,
74,14,26.5,3,cm below,
75,14,27.5,3,cm below,
76,14,28.5,2,cm below,
77,15,12.25,1,1/2 cm,
78,16,35.5,4,cm below,
79,16,36.5,6,cm below,
80,16,37.5,4,cm below,
81,16,38.5,2,cm below,
82,16,39.5,6,cm below,
83,16,40.5,5,cm below,
84,16,41.5,2,cm below,
85,16,42.5,2,cm below,
86,16,45.5,2,cm below,
87,16,46.5,2,cm below,
88,16,47.5,4,cm below,
89,16,48.5,1,cm below,
90,16,49.5,4,cm below,
91,16,50.5,1,cm below,
92,16,51.5,1,cm below,
93,16,52.5,1,cm below,
94,16,54.5,2,cm below,
95,17,28.5,2,cm below,
96,18,35.5,1,cm below,
97,18,36.5,2,cm below,
98,18,37.5,5,cm below,
99,18,38.5,1,cm below,
100,18,39.5,2,cm below,
101,18,40.5,1,cm below,
102,18,41.5,1,cm below,
103,18,43.5,1,cm below,
104,18,44.5,1,cm below,
105,18,45.5,1,cm below,
106,19,25.5,132,cm below,
107,19,26.5,129,cm below,
108,19,27.5,114,cm below,
109,19,28.5,70,cm below,
110,19,29.5,55,cm below,
111,19,30.5,45,cm below,
112,19,31.5,24,cm below,
113,19,32.5,7,cm below,
114,19,33.5,15,cm below,
115,19,34.5,5,cm below,
116,19,35.5,4,cm below,
117,19,36.5,1,cm below,
118,20,26.5,59,cm below,
119,20,27.5,44,cm below,
120,20,28.5,32,cm below,
121,20,29.5,32,cm below,
122,20,30.5,18,cm below,
123,20,31.5,13,cm below,
124,20,32.5,4,cm below,
125,20,33.5,13,cm below,
126,20,34.5,4,cm below,
127,20,35.5,2,cm below,
128,20,36.5,2,cm below,
129,20,38.5,1,cm below,
130,20,39.5,2,cm below,
131,21,31.5,1,cm below,
132,22,33.5,4,cm below,
133,22,34.5,7,cm below,
134,23,10.5,1,cm below,
135,23,27.5,2,cm below,
136,23,28.5,2,cm below,
137,23,30.5,3,cm below,
138,23,31.5,4,cm below,
139,23,32.5,3,cm below,
140,23,33.5,5,cm below,
141,23,34.5,2,cm below,
142,24,24.5,1,cm below,
143,24,26.5,1,cm below,
144,24,28.5,1,cm below,
145,25,20.5,1,cm below,
146,25,21.5,2,cm below,
147,25,22.5,19,cm below,
148,25,23.5,37,cm below,
149,25,24.5,105,cm below,
150,26,20.5,1,cm below,
151,26,22.5,2,cm below,
152,26,23.5,5,cm below,
153,26,24.5,13,cm below,
154,26,25.5,48,cm below,
155,27,22.5,1,cm below,
156,27,23.5,1,cm below,
157,27,24.5,1,cm below,
158,27,25.5,1,cm below,
159,27,26.5,2,cm below,
160,27,27.5,1,cm below,
161,28,11.75,1,1/2 cm,
162,28,12.75,1,1/2 cm,
163,28,13.75,2,1/2 cm,
164,28,14.25,1,1/2 cm,
165,28,15.25,1,1/2 cm,
166,28,16.25,1,1/2 cm,
167,28,17.25,1,1/2 cm,
168,28,17.75,3,1/2 cm,
169,28,18.25,7,1/2 cm,
170,28,18.75,6,1/2 cm,
171,28,19.25,9,1/2 cm,
172,28,19.75,15,1/2 cm,
173,28,20.25,13,1/2 cm,
174,28,20.75,25,1/2 cm,
175,28,21.25,17,1/2 cm,
176,28,21.75,36,1/2 cm,
177,28,22.25,45,1/2 cm,
178,28,22.75,43,1/2 cm,
179,28,23.25,50,1/2 cm,
