jahr;eunr;anl_reisenr;fng_reisenr;fangnr;landnr;landdat;landort;fao_gebiet;zone;rechteck;fischart;fangkg;landkg;aufmachung;zustand;fsc;erloes;groesse_id;verwendung;verwendung_ble
2020;DEU70883615;20001002;20001002;1920202;1554890;2020-01-26;DEMAO;27.3.c.22;DEU;37G1;DAB;200;200;WHL;FRE;LSC;240;1;HCN;1
2020;DEU70883615;20000206;20000127;1916734;1553419;2020-01-07;DEMAO;27.3.c.22;DEU;37G1;COD;854.63;730.45;GUT;FRE;LSC;2797.63;5;HCN;1
2020;DEU70883615;20035278;20035278;1987233;1583190;2020-11-28;DEMAO;27.3.c.22;DEU;37G1;DAB;150;150;WHL;FRE;LSC;85.5;1;HCN;1
2020;DEU70883615;20035926;20035926;1989031;1583632;2020-12-01;DEMAO;27.3.c.22;DEU;38G1;DAB;175;175;WHL;FRE;LSC;112;1;HCN;1
2020;DEU70883615;20001002;20001002;1920582;1554890;2020-01-26;DEMAO;27.3.c.22;DEU;37G1;COD;786.32;672.07;GUT;FRE;LSC;1418.06;5;HCN;1
2020;DEU70883615;20001002;20001002;1920237;1554890;2020-01-26;DEMAO;27.3.c.22;DEU;37G1;FLE;50;50;WHL;FRE;LSC;34.5;1;HCN;1
2020;DEU70883615;20039867;20039867;1995464;1586352;2020-12-29;DEMAO;27.3.c.22;DEU;38G0;WIT;8.48;8;GUT;FRE;LSC;18.56;1;HCN;1
2020;DEU70883615;20001002;20001002;1920237;1554890;2020-01-26;DEMAO;27.3.c.22;DEU;37G1;DAB;250;250;WHL;FRE;LSC;300;1;HCN;1
2020;DEU70883615;20037857;20037857;1991799;1584807;2020-12-09;DEMAO;27.3.c.22;DEU;37G0;COD;234;200;GUT;FRE;LSC;648;3;HCN;1
2020;DEU70883615;20039202;20039202;1994744;1585825;2020-12-20;DEHHF;27.3.c.22;DEU;37G1;COD;292.91;250.35;GUT;FRE;LSC;685.96;3;HCN;1
2020;DEU70883615;20000060;20000060;1916412;1553030;2020-01-03;DEMAO;27.3.c.22;DEU;38G0;PLE;475;475;WHL;FRE;LSC;1049.75;1;HCN;1
2020;DEU70883615;20000432;20000432;1918384;1554011;2020-01-13;DEMAO;27.3.c.22;DEU;38G0;COD;218.79;187;GUT;FRE;LSC;671.33;3;HCN;1
2020;DEU70883615;20035278;20035278;1986762;1583190;2020-11-28;DEMAO;27.3.c.22;DEU;37G1;COD;41.59;35.55;GUT;FRE;LSC;82.83;5;HCN;1
2020;DEU70883615;20039202;20039202;1994747;1585825;2020-12-20;DEHHF;27.3.c.22;DEU;37G0;COD;264.27;225.87;GUT;FRE;LSC;411.09;4;HCN;1
2020;DEU70883615;20039202;20039202;1994809;1585825;2020-12-20;DEHHF;27.3.c.22;DEU;37G0;PLE;193.18;193.18;WHL;FRE;LSC;227.95;1;HCN;1
2020;DEU70883615;20009793;20009793;1938068;1562593;2020-04-26;DEMAO;27.3.c.22;DEU;38G1;TUR;190.75;175;GUT;FRE;LSC;479.5;2;HCN;1
2020;DEU70883615;20039924;20039924;1995609;1586353;2020-12-30;DEMAO;27.3.c.22;DEU;38G0;PLE;850;850;WHL;FRE;LSC;1292;1;HCN;1
2020;DEU70883615;20039924;20039924;1995609;1586353;2020-12-30;DEMAO;27.3.c.22;DEU;38G0;DAB;62;62;WHL;FRE;LSC;70.68;1;HCN;1
2020;DEU70883615;20039359;20039359;1994931;1586045;2020-12-22;DEMAO;27.3.c.22;DEU;37G0;DAB;125;125;WHL;FRE;LSC;85;1;HCN;1
2020;DEU70883615;20013377;20013152;1944642;1565011;2020-05-29;DEMAO;27.3.c.22;DEU;37G1;DAB;700;700;WHL;FRE;LSC;406;1;HCN;1
2020;DEU70883615;20039202;20039202;1994744;1585825;2020-12-20;DEHHF;27.3.c.22;DEU;37G1;COD;588.69;503.15;GUT;FRE;LSC;915.74;4;HCN;1
2020;DEU70883615;20000520;20000520;1918380;1554172;2020-01-14;DEMAO;27.3.c.22;DEU;38G0;FLE;150;150;WHL;FRE;LSC;156;1;HCN;1
2020;DEU70883615;20009793;20009793;1938068;1562593;2020-04-26;DEMAO;27.3.c.22;DEU;38G1;COD;146.25;125;GUT;FRE;LSC;207.5;3;HCN;1
2020;DEU70883615;20000869;20000869;1919645;1554512;2020-01-21;DEMAO;27.3.c.22;DEU;38G0;PLE;425;425;WHL;FRE;LSC;773.5;1;HCN;1
2020;DEU70883615;20000869;20000869;1919645;1554512;2020-01-21;DEMAO;27.3.c.22;DEU;38G0;FLE;75;75;WHL;FRE;LSC;36;1;HCN;1
2020;DEU70883615;20034348;20034348;1984940;1581706;2020-11-14;DEMAO;27.3.c.22;DEU;38G0;COD;29.25;25;GUT;FRE;LSC;106.5;3;HCN;1
2020;DEU70883615;20000520;20000520;1918380;1554172;2020-01-14;DEMAO;27.3.c.22;DEU;38G0;DAB;100;100;WHL;FRE;LSC;220;1;HCN;1
2020;DEU70883615;20039202;20039202;1994809;1585825;2020-12-20;DEHHF;27.3.c.22;DEU;37G0;DAB;53;53;WHL;FRE;LSC;36.04;1;HCN;1
2020;DEU70883615;20034314;20034314;1984630;1581707;2020-11-13;DEMAO;27.3.c.22;DEU;38G0;PLE;800;800;WHL;FRE;LSC;1352;1;HCN;1
2020;DEU70883615;20034560;20034560;1985412;1581931;2020-11-17;DEMAO;27.3.c.22;DEU;38G0;PLE;600;600;WHL;FRE;LSC;1020;1;HCN;1
2020;DEU70883615;20035926;20035926;1989031;1583632;2020-12-01;DEMAO;27.3.c.22;DEU;38G1;TUR;67.04;61.51;GUT;FRE;LSC;170.99;2;HCN;1
2020;DEU70883615;20034560;20034560;1985412;1581931;2020-11-17;DEMAO;27.3.c.22;DEU;38G0;SOL;1.04;1;GUT;FRE;LSC;8.66;1;HCN;1
2020;DEU70883615;20039730;20039730;1995322;1586100;2020-12-26;DEMAO;27.3.c.22;DEU;37G1;COD;59.67;51;GUT;FRE;LSC;147.9;4;HCN;1
2020;DEU70883615;20013377;20013152;1944673;1565011;2020-05-29;DEMAO;27.3.c.22;DEU;37G1;PLE;75;75;WHL;FRE;LSC;118.5;1;HCN;1
2020;DEU70883615;20000520;20000520;1918380;1554172;2020-01-14;DEMAO;27.3.c.22;DEU;38G0;LEM;10;10;WHL;FRE;LSC;43.8;1;HCN;1
2020;DEU70883615;20034854;20034854;1985857;1582136;2020-11-20;DEMAO;27.3.c.22;DEU;38G0;PLE;500;500;WHL;FRE;LSC;870;1;HCN;1
2020;DEU70883615;20000335;20000335;1917846;1553774;2020-01-10;DEMAO;27.3.c.22;DEU;38G0;PLE;975;975;WHL;FRE;LSC;1521;1;HCN;1
2020;DEU70883615;20034266;20034266;1984366;1581705;2020-11-12;DEMAO;27.3.c.22;DEU;38G0;TUR;6.54;6;GUT;FRE;LSC;20.34;2;HCN;1
2020;DEU70883615;20036496;20036496;1990031;1584809;2020-12-05;DEMAO;27.3.c.22;DEU;37G1;PLE;50;50;WHL;FRE;LSC;60.5;1;HCN;1
2020;DEU70883615;20034854;20034854;1985857;1582136;2020-11-20;DEMAO;27.3.c.22;DEU;38G0;BLL;2.18;2;GUT;FRE;LSC;5.2;1;HCN;1
2020;DEU70883615;20039202;20039202;1994744;1585825;2020-12-20;DEHHF;27.3.c.22;DEU;37G1;COD;410.65;350.98;GUT;FRE;LSC;551.04;5;HCN;1
2020;DEU70883615;20034266;20034266;1984366;1581705;2020-11-12;DEMAO;27.3.c.22;DEU;38G0;COD;58.5;50;GUT;FRE;LSC;213;3;HCN;1
2020;DEU70883615;20037857;20037857;1991799;1584807;2020-12-09;DEMAO;27.3.c.22;DEU;37G0;PLE;500;500;WHL;FRE;LSC;670;1;HCN;1
2020;DEU70883615;20038212;20038212;1992765;1585140;2020-12-12;DEMAO;27.3.c.22;DEU;37G0;COD;145.08;124;GUT;FRE;LSC;285.2;4;HCN;1
2020;DEU70883615;20033050;20033050;1982385;1580805;2020-11-08;DEMAO;27.3.c.22;DEU;38G0;SOL;1.04;1;GUT;FRE;LSC;5.12;1;HCN;1
2020;DEU70883615;20032791;20032791;1981345;1580806;2020-11-04;DEMAO;27.3.c.22;DEU;38G0;COD;128.7;110;GUT;FRE;LSC;507.1;3;HCN;1
2020;DEU70883615;20000335;20000335;1917846;1553774;2020-01-10;DEMAO;27.3.c.22;DEU;38G0;LEM;10.5;10;GUT;FRE;LSC;29.4;1;HCN;1
2020;DEU70883615;20034854;20034854;1985857;1582136;2020-11-20;DEMAO;27.3.c.22;DEU;38G0;SOL;2.08;2;GUT;FRE;LSC;22.64;1;HCN;1
2020;DEU70883615;20034560;20034560;1985412;1581931;2020-11-17;DEMAO;27.3.c.22;DEU;38G0;DAB;250;250;WHL;FRE;LSC;95;1;HCN;1
2020;DEU70883615;20039730;20039730;1995322;1586100;2020-12-26;DEMAO;27.3.c.22;DEU;37G1;DAB;30;30;WHL;FRE;LSC;47.1;1;HCN;1
2020;DEU70883615;20039924;20039924;1995609;1586353;2020-12-30;DEMAO;27.3.c.22;DEU;38G0;TUR;8.72;8;GUT;FRE;LSC;40.4;2;HCN;1
2020;DEU70883615;20035278;20035278;1987233;1583190;2020-11-28;DEMAO;27.3.c.22;DEU;37G1;COD;158.56;135.52;GUT;FRE;LSC;413.33;4;HCN;1
2020;DEU70883615;20013377;20013152;1944673;1565011;2020-05-29;DEMAO;27.3.c.22;DEU;37G1;TUR;27.06;24.83;GUT;FRE;LSC;72.5;2;HCN;1
2020;DEU70883615;20035278;20035278;1986762;1583190;2020-11-28;DEMAO;27.3.c.22;DEU;37G1;TUR;21.8;20;GUT;FRE;LSC;64.6;2;HCN;1
2020;DEU70883615;20035278;20035278;1987528;1583190;2020-11-28;DEMAO;27.3.c.22;DEU;37G1;COD;19.3;16.49;GUT;FRE;LSC;57.07;3;HCN;1
2020;DEU70883615;20000602;20000602;1918728;1554276;2020-01-16;DEMAO;27.3.c.22;DEU;38G0;FLE;187;187;WHL;FRE;LSC;127.16;1;HCN;1
2020;DEU70883615;20037857;20037857;1991799;1584807;2020-12-09;DEMAO;27.3.c.22;DEU;37G0;DAB;125;125;WHL;FRE;LSC;70;1;HCN;1
2020;DEU70883615;20013377;20013377;1944942;1565011;2020-05-29;DEMAO;27.3.c.22;DEU;37G1;DAB;700;700;WHL;FRE;LSC;406;1;HCN;1
2020;DEU70883615;20000432;20000432;1918384;1554011;2020-01-13;DEMAO;27.3.c.22;DEU;38G0;LEM;10;10;WHL;FRE;LSC;18.4;1;HCN;1
2020;DEU70883615;20035278;20035278;1987528;1583190;2020-11-28;DEMAO;27.3.c.22;DEU;37G1;DAB;25;25;WHL;FRE;LSC;14.25;1;HCN;1
2020;DEU70883615;20000206;20000127;1916739;1553419;2020-01-07;DEMAO;27.3.c.22;DEU;37G1;COD;854.63;730.45;GUT;FRE;LSC;2797.63;5;HCN;1
2020;DEU70883615;20001002;20001002;1920237;1554890;2020-01-26;DEMAO;27.3.c.22;DEU;37G1;COD;412.93;352.93;GUT;FRE;LSC;935.26;4;HCN;1
2020;DEU70883615;20037857;20037857;1991799;1584807;2020-12-09;DEMAO;27.3.c.22;DEU;37G0;TUR;5.45;5;GUT;FRE;LSC;23.85;2;HCN;1
2020;DEU70883615;20013377;20013377;1945165;1565011;2020-05-29;DEMAO;27.3.c.22;DEU;37G1;TUR;26.06;23.91;GUT;FRE;LSC;69.81;2;HCN;1
2020;DEU70883615;20034854;20034854;1985857;1582136;2020-11-20;DEMAO;27.3.c.22;DEU;38G0;COD;29.25;25;GUT;FRE;LSC;111.25;3;HCN;1
2020;DEU70883615;20013377;20013377;1945165;1565011;2020-05-29;DEMAO;27.3.c.22;DEU;37G1;DAB;1200;1200;WHL;FRE;LSC;696;1;HCN;1
2020;DEU70883615;20013377;20013152;1944673;1565011;2020-05-29;DEMAO;27.3.c.22;DEU;37G1;FLE;250;250;WHL;FRE;LSC;72.5;1;HCN;1
2020;DEU70883615;20013377;20013152;1944642;1565011;2020-05-29;DEMAO;27.3.c.22;DEU;37G1;PLE;50;50;WHL;FRE;LSC;79;1;HCN;1
2020;DEU70883615;20000206;20000206;1917007;1553419;2020-01-07;DEMAO;27.3.c.22;DEU;38G0;DAB;125;125;WHL;FRE;LSC;160;1;HCN;1
2019;DEU1800918;19013517;19013517;1861110;1526641;2019-04-28;DEWAR;27.3.c.22;DEU;37G1;COD;18.72;16;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013509;19013509;1861105;1526772;2019-04-17;DEWAR;27.3.c.22;DEU;37G1;PLE;80;80;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013345;19013345;1860853;1526514;2019-04-11;DEWAR;27.3.c.22;DEU;37G1;COD;64.35;55;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013345;19013345;1860853;1526514;2019-04-11;DEWAR;27.3.c.22;DEU;37G1;PLE;50;50;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013513;19013513;1861108;1526639;2019-04-25;DEWAR;27.3.c.22;DEU;37G1;PLE;25;25;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19031196;19031196;1892260;1540555;2019-09-19;DEWAR;27.3.c.22;DEU;37G1;FLE;120;120;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013342;19013342;1860851;1526513;2019-04-10;DEWAR;27.3.c.22;DEU;37G1;PLE;80;80;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013340;19013340;1860850;1526512;2019-04-05;DEWAR;27.3.c.22;DEU;37G1;DAB;55;55;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19008446;19008446;1851172;1521988;2019-03-19;DEWAR;27.3.c.22;DEU;37G1;DAB;20;20;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19001451;19001451;1836434;1514446;2019-01-31;DEWAR;27.3.c.22;DEU;37G1;COD;189.54;162;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013509;19013509;1861105;1526772;2019-04-17;DEWAR;27.3.c.22;DEU;37G1;COD;44.46;38;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19003841;19003841;1841598;1517088;2019-02-26;DEWAR;27.3.c.22;DEU;37G1;COD;39.9;34.1;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013511;19013511;1861107;1526638;2019-04-19;DEWAR;27.3.c.22;DEU;37G1;COD;64.35;55;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19008446;19008446;1851172;1521988;2019-03-19;DEWAR;27.3.c.22;DEU;37G1;COD;44.93;38.4;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19001449;19001449;1836433;1514445;2019-01-25;DEWAR;27.3.c.22;DEU;37G1;FLE;5;5;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013345;19013345;1860853;1526514;2019-04-11;DEWAR;27.3.c.22;DEU;37G1;FLE;10;10;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013340;19013340;1860850;1526512;2019-04-05;DEWAR;27.3.c.22;DEU;37G1;COD;84.24;72;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013510;19013510;1861106;1526773;2019-04-18;DEWAR;27.3.c.22;DEU;37G1;FLE;120;120;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19006855;19006855;1848019;1520529;2019-03-06;DEWAR;27.3.c.22;DEU;37G1;COD;79.56;68;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19002104;19002104;1838171;1515179;2019-02-08;DEWAR;27.3.c.22;DEU;37G1;FLE;47;47;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013513;19013513;1861108;1526639;2019-04-25;DEWAR;27.3.c.22;DEU;37G1;COD;24.57;21;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013517;19013517;1861110;1526641;2019-04-28;DEWAR;27.3.c.22;DEU;37G1;PLE;30;30;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19002104;19002104;1838171;1515179;2019-02-08;DEWAR;27.3.c.22;DEU;37G1;COD;134.55;115;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19002091;19002091;1838169;1515171;2019-02-06;DEWAR;27.3.c.22;DEU;37G1;COD;209.43;179;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013510;19013510;1861106;1526773;2019-04-18;DEWAR;27.3.c.22;DEU;37G1;COD;19.89;17;GUT;FRE;LSC;0;;UKN;20
2019;DEU1800918;19008446;19008446;1851172;1521988;2019-03-19;DEWAR;27.3.c.22;DEU;37G1;FLE;20;20;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19002091;19002091;1838169;1515171;2019-02-06;DEWAR;27.3.c.22;DEU;37G1;FLE;40;40;WHL;FRE;LSC;0;;UKN;20
2019;DEU1800918;19013509;19013509;1861105;1526772;2019-04-17;DEWAR;27.3.c.22;DEU;37G1;FLE;100;100;WHL;FRE;LSC;0;;UKN;20
2019;DEU59203018;19036264;;;1545503;2019-09-30;DEKU3;27.3.c.22;DEU;37G1;COD;40.8;24;GUH;FRE;LSC;96;2;UKN;20
2019;DEU59203018;19036264;;;1545503;2019-09-30;DEKU3;27.3.c.22;DEU;37G1;FLE;8;8;WHL;FRE;LSC;24;;UKN;20
2019;DEU59203018;19030049;;;1539623;2019-08-31;DEKU3;27.3.c.22;DEU;37G1;FLE;50.04;36;GUH;FRE;LSC;180;1;UKN;20
2019;DEU59203018;19025184;;;1535505;2019-07-31;DEKU3;27.3.c.22;DEU;37G1;FLE;11.12;8;GUH;FRE;LSC;48;1;UKN;20
2019;DEU59203018;19025184;;;1535505;2019-07-31;DEKU3;27.3.c.22;DEU;37G1;COD;20.4;12;GUH;FRE;LSC;60;2;UKN;20
2019;DEU59203018;19030049;;;1539623;2019-08-31;DEKU3;27.3.c.22;DEU;37G1;COD;14.04;12;GUT;FRE;LSC;36;3;UKN;20
2019;DEU70883615;19022556;19022556;1876521;1535157;2019-07-24;DEMAO;27.3.c.22;DNK;38G0;COD;391.62;334.72;GUT;FRE;LSC;984.06;3;HCN;1
2019;DEU70883615;19043457;19043457;1915789;1552527;2019-12-27;DEHHF;27.3.c.22;DEU;37G1;COD;880.32;752.41;GUT;FRE;LSC;2505.52;4;HCN;1
2019;DEU70883615;19042384;19042384;1914416;1551925;2019-12-17;DEHHF;27.3.c.22;DEU;37G1;BLL;2.18;2;GUT;FRE;LSC;22.88;1;HCN;1
2019;DEU70883615;19041736;19041736;1913194;1551705;2019-12-10;DEMAO;27.3.c.22;DEU;38G0;WIT;2.12;2;GUT;FRE;LSC;5.22;1;HCN;1
2019;DEU70883615;19041568;19041555;1913073;1550913;2019-12-09;DEMAO;27.3.c.22;DEU;38G0;PLE;500;500;WHL;FRE;LSC;1250;1;HCN;1
2019;DEU70883615;19001316;19001316;1835933;1515078;2019-01-30;DEKAP;27.3.c.22;DEU;38G0;SPR;18050;18050;WHL;FRE;LSC;3881.4;1;HCN;1
2019;DEU70883615;19000110;19000110;1831404;1512682;2019-01-05;DEMAO;27.3.c.22;DEU;38G0;COD;263.25;225;GUT;FRE;LSC;940.5;3;HCN;1
2019;DEU70883615;19000137;19000137;1831531;1512935;2019-01-06;DEMAO;27.3.c.22;DEU;38G0;WHG;4;4;WHL;FRE;LSC;1.36;1;HCN;1
2019;DEU70883615;19003512;19003512;1840951;1517016;2019-02-26;DEMAO;27.3.c.22;DEU;38G1;TUR;74.12;68;GUT;FRE;LSC;367.88;2;HCN;1
2019;DEU70883615;19042384;19042384;1914327;1551925;2019-12-17;DEHHF;27.3.c.22;DEU;37G1;COD;390.75;333.97;GUT;FRE;LSC;1235.7;3;HCN;1
2019;DEU70883615;19002607;19002607;1839016;1516118;2019-02-16;DEMAO;27.3.c.22;DEU;38G0;PLE;325;325;WHL;FRE;LSC;757.25;1;HCN;1
2019;DEU70883615;19004487;19004487;1842966;1518515;2019-03-12;DEMAO;27.3.c.22;DEU;38G0;PLE;300;300;WHL;FRE;LSC;747;1;HCN;1
2019;DEU70883615;19037709;19037709;1906607;1547783;2019-11-16;DEMAO;27.3.c.22;DEU;38G0;SOL;2.08;2;GUT;FRE;LSC;27.86;1;HCN;1
2019;DEU70883615;19037709;19037709;1906607;1547783;2019-11-16;DEMAO;27.3.c.22;DEU;38G0;FLE;25;25;WHL;FRE;LSC;14.25;1;HCN;1
2019;DEU70883615;19002740;19002740;1839355;1516119;2019-02-18;DEMAO;27.3.c.22;DEU;38G0;PLE;231;231;WHL;FRE;LSC;545.16;1;HCN;1
2019;DEU70883615;19004420;19004420;1842840;1518280;2019-03-11;DEMAO;27.3.c.22;DEU;38G0;DAB;125;125;WHL;FRE;LSC;200;1;HCN;1
2019;DEU70883615;19009747;19009747;1853824;1524111;2019-04-25;DEMAO;27.3.c.22;DEU;38G0;COD;87.75;75;GUT;FRE;LSC;162.75;3;HCN;1
2019;DEU70883615;19043521;19043521;1915925;1552526;2019-12-28;DEHHF;27.3.c.22;DEU;37G1;TUR;16.35;15;GUT;FRE;LSC;102;2;HCN;1
2019;DEU70883615;19042384;19042384;1914416;1551925;2019-12-17;DEHHF;27.3.c.22;DEU;37G1;COD;328.71;280.95;GUT;FRE;LSC;1039.52;3;HCN;1
2019;DEU70883615;19043160;19043093;1914818;1552196;2019-12-20;DEHHF;27.3.c.22;DEU;37G1;PLE;700;700;WHL;FRE;LSC;1127;1;HCN;1
2019;DEU70883615;19043521;19043521;1915947;1552526;2019-12-28;DEHHF;27.3.c.22;DEU;37G1;COD;319.27;272.88;GUT;FRE;LSC;908.69;4;HCN;1
2019;DEU70883615;19039304;19039304;1909528;1549497;2019-11-26;DEMAO;27.3.c.22;DEU;38G0;PLE;1750;1750;WHL;FRE;LSC;3430;1;HCN;1
2019;DEU70883615;19005822;19005822;1846468;1520647;2019-03-29;DEMAO;27.3.c.22;DEU;38G1;TUR;27.25;25;GUT;FRE;LSC;128.25;2;HCN;1
2019;DEU70883615;19005528;19005528;1845501;1520441;2019-03-26;DEMAO;27.3.c.22;DEU;38G0;FLE;200;200;WHL;FRE;LSC;190;1;HCN;1
