jahr;eunr;anl_reisenr;fng_reisenr;fangnr;landnr;landdat;landort;fao_gebiet;zone;rechteck;fischart;fangkg;landkg;aufmachung;zustand;fsc;erloes;groesse_id;verwendung;verwendung_ble
2020;DEU1800918;20001069;20001069;1920183;1554458;2020-01-13;DEWAR;27.3.c.22;DEU;37G1;TUR;12;12;WHL;FRE;LSC;0;;UKN;20
2020;DEU59203018;20010087;;;1561769;2020-03-31;DEKU3;27.3.c.22;DEU;37G1;TRS;8.5;8.5;WHL;FRE;LSC;51;;UKN;20
2020;DEU59203018;20030813;;;1578444;2020-09-30;DEKU3;27.3.c.22;DEU;37G1;FLE;12;12;WHL;FRE;LSC;36;1;UKN;20
2020;DEU59203018;20030813;;;1578444;2020-09-30;DEKU3;27.3.c.22;DEU;37G1;PLE;26;26;WHL;FRE;LSC;78;1;UKN;20
2020;DEU59203018;20026398;;;1574476;2020-08-31;DEKU3;27.3.c.22;DEU;37G1;FLE;18.5;18.5;WHL;FRE;LSC;45.5;1;UKN;20
2020;DEU59203018;20010087;;;1561769;2020-03-31;DEKU3;27.3.c.22;DEU;37G1;COD;16.15;9.5;GUH;FRE;LSC;47.5;5;UKN;20
2020;DEU70883615;20000060;20000060;1916412;1553030;2020-01-03;DEMAO;27.3.c.22;DEU;38G0;DAB;200;200;WHL;FRE;LSC;166;1;HCN;1
2020;DEU70883615;20009793;20009793;1938068;1562593;2020-04-26;DEMAO;27.3.c.22;DEU;38G1;FLE;450;450;WHL;FRE;LSC;112.5;1;HCN;1
2020;DEU70883615;20032175;20032175;1980605;1579881;2020-10-31;DEMAO;27.3.c.22;DEU;38G0;DAB;1850;1850;WHL;FRE;LSC;1369;1;HCN;1
2020;DEU70883615;20039867;20039867;1995464;1586352;2020-12-29;DEMAO;27.3.c.22;DEU;38G0;SOL;5.2;5;GUT;FRE;LSC;39.3;1;HCN;1
2020;DEU70883615;20000206;20000127;1916739;1553419;2020-01-07;DEMAO;27.3.c.22;DEU;37G1;COD;734.18;627.5;GUT;FRE;LSC;2729.65;4;HCN;1
2020;DEU70883615;20000602;20000602;1918728;1554276;2020-01-16;DEMAO;27.3.c.22;DEU;38G0;TUR;3.27;3;GUT;FRE;LSC;19.44;2;HCN;1
2020;DEU70883615;20001002;20001002;1920202;1554890;2020-01-26;DEMAO;27.3.c.22;DEU;37G1;FLE;100;100;WHL;FRE;LSC;69;1;HCN;1
2020;DEU70883615;20013377;20013377;1945186;1565011;2020-05-29;DEMAO;27.3.c.22;DEU;37G1;SOL;19.76;19;GUT;FRE;LSC;161.5;1;HCN;1
2020;DEU70883615;20037360;20037360;1991526;1584808;2020-12-08;DEHHF;27.3.c.22;DEU;37G0;COD;98.09;83.83;GUT;FRE;LSC;253.18;4;HCN;1
2020;DEU70883615;20014504;20014504;1947122;1565892;2020-06-08;DEMAO;27.3.c.22;DEU;38G0;COD;4212;3600;GUT;FRE;LSC;14688;3;HCN;1
2020;DEU70883615;20001002;20001002;1920202;1554890;2020-01-26;DEMAO;27.3.c.22;DEU;37G1;COD;257.99;220.51;GUT;FRE;LSC;584.34;4;HCN;1
2020;DEU70883615;20000206;20000206;1917007;1553419;2020-01-07;DEMAO;27.3.c.22;DEU;38G0;COD;223.99;191.45;GUT;FRE;LSC;1112.3;3;HCN;1
2020;DEU70883615;20039202;20039202;1994809;1585825;2020-12-20;DEHHF;27.3.c.22;DEU;37G0;COD;241.56;206.46;GUT;FRE;LSC;324.14;5;HCN;1
2020;DEU70883615;20032604;20032604;1981172;1580807;2020-11-03;DEMAO;27.3.c.22;DEU;38G0;PLE;625;625;WHL;FRE;LSC;1300;1;HCN;1
2020;DEU70883615;20035278;20035278;1987528;1583190;2020-11-28;DEMAO;27.3.c.22;DEU;37G1;PLE;175;175;WHL;FRE;LSC;311.5;1;HCN;1
2020;DEU70883615;20001002;20001002;1920202;1554890;2020-01-26;DEMAO;27.3.c.22;DEU;37G1;COD;72.06;61.59;GUT;FRE;LSC;156.44;3;HCN;1
2020;DEU70883615;20033050;20033050;1982385;1580805;2020-11-08;DEMAO;27.3.c.22;DEU;38G0;COD;1141.15;975.34;GUT;FRE;LSC;2760.2;5;HCN;1
2020;DEU70883615;20035926;20035926;1988508;1583632;2020-12-01;DEMAO;27.3.c.22;DEU;38G1;FLE;25;25;WHL;FRE;LSC;5.25;1;HCN;1
2020;DEU70883615;20013377;20013377;1945186;1565011;2020-05-29;DEMAO;27.3.c.22;DEU;37G1;PLE;25;25;WHL;FRE;LSC;39.5;1;HCN;1
2020;DEU70883615;20000206;20000206;1917007;1553419;2020-01-07;DEMAO;27.3.c.22;DEU;38G0;PLE;1150;1150;WHL;FRE;LSC;2576;1;HCN;1
2020;DEU70883615;20001002;20001002;1920237;1554890;2020-01-26;DEMAO;27.3.c.22;DEU;37G1;COD;641.56;548.34;GUT;FRE;LSC;1156.99;5;HCN;1
2020;DEU70883615;20035278;20035278;1986762;1583190;2020-11-28;DEMAO;27.3.c.22;DEU;37G1;FLE;150;150;WHL;FRE;LSC;45;1;HCN;1
2020;DEU70883615;20013377;20013377;1944942;1565011;2020-05-29;DEMAO;27.3.c.22;DEU;37G1;PLE;50;50;WHL;FRE;LSC;79;1;HCN;1
2020;DEU70883615;20034348;20034348;1984940;1581706;2020-11-14;DEMAO;27.3.c.22;DEU;38G0;DAB;175;175;WHL;FRE;LSC;89.25;1;HCN;1
2020;DEU70883615;20035278;20035278;1987528;1583190;2020-11-28;DEMAO;27.3.c.22;DEU;37G1;TUR;10.9;10;GUT;FRE;LSC;32.3;2;HCN;1
