ha_index,tr_index,year,quarter,month,haul,fo_start_date,fo_start_time,fo_end_date,fo_end_time,fishing_duration,fo_start_lat,fo_start_lon,fo_stop_lat,fo_stop_lon,fishing_distance,country,area_national,fao_area,rectangle
1,1,2018,3,9,1,2018-09-10,12:00:00,2018-09-11,12:00:00,24:00:00,54.250,15.433,54.583,14.633,1,GFR,OSTSEE,27.3.D.24,37G3
2,2,2018,2,4,1,2018-04-25,06:30:00,2018-04-25,12:00:00,05:30:00,55.300,14.400,55.533,14.917,11,GFR,OSTSEE,27.3.D.24,37G3
3,3,2018,4,10,1,2018-10-19,06:45:00,2018-10-19,10:15:00,03:30:00,55.233,14.450,56.083,13.817,12,GFR,OSTSEE,27.3.D.24,38G3
4,4,2019,4,11,19,2019-11-25,18:45:00,2019-11-26,07:00:00,12:15:00,54.783,15.367,54.867,14.467,10,GFR,OSTSEE,27.3.D.24,37G3
5,5,2018,1,3,1,2018-03-12,19:00:00,2018-03-13,06:00:00,11:00:00,55.317,14.617,54.817,15.267,10,GFR,OSTSEE,27.3.D.24,37G4
6,6,2017,1,3,1,2017-03-27,21:15:00,2017-03-28,04:45:00,07:30:00,54.117,13.783,54.383,14.083,19,GFR,OSTSEE,27.3.D.24,37G3
7,7,2019,4,11,1,2019-11-25,18:45:00,2019-11-26,07:00:00,12:15:00,54.783,15.367,54.867,14.467,10,GFR,OSTSEE,27.3.D.24,37G3
8,8,2019,4,12,1,2019-12-11,14:00:00,2019-12-12,17:00:00,03:00:00,55.567,13.900,55.567,13.900,0,GFR,OSTSEE,27.3.D.24,37G3
9,9,2017,4,11,1,2017-11-07,19:20:00,2017-11-08,06:20:00,11:00:00,54.233,13.767,54.383,14.083,14,GFR,OSTSEE,27.3.D.24,37G3
10,10,2019,4,12,1,2019-12-16,14:00:00,2019-12-17,17:00:00,03:00:00,55.567,13.900,55.567,13.900,0,GFR,OSTSEE,27.3.D.24,37G3
11,11,2017,4,11,1,2017-11-29,04:30:00,2017-11-30,06:00:00,01:30:00,55.400,13.950,55.883,15.067,14,GFR,OSTSEE,27.3.D.24,38G3
12,12,2019,4,10,1,2019-10-22,07:30:00,2019-10-23,07:30:00,24:00:00,54.983,14.767,54.667,14.450,1,GFR,OSTSEE,27.3.D.24,38G3
13,13,2019,4,10,1,2019-10-07,14:30:00,2019-10-08,07:30:00,17:00:00,55.550,14.150,55.667,14.533,0,GFR,OSTSEE,27.3.D.24,38G3
14,13,2019,4,10,1,2019-10-07,15:00:00,2019-10-08,08:30:00,17:30:00,56.133,13.500,55.683,14.200,0,GFR,OSTSEE,27.3.D.24,38G3
15,13,2019,4,10,1,2019-10-07,15:30:00,2019-10-08,09:30:00,18:00:00,55.417,14.017,55.467,14.667,0,GFR,OSTSEE,27.3.D.24,38G3
16,14,2018,4,11,1,2018-11-01,15:00:00,2018-11-02,10:00:00,19:00:00,54.367,14.733,55.050,15.267,3,GFR,OSTSEE,27.3.D.24,37G3
17,14,2018,4,11,1,2018-10-30,18:00:00,2018-11-02,11:30:00,65:30:00,54.250,15.067,54.767,14.433,0,GFR,OSTSEE,27.3.D.24,37G3
18,15,2018,1,3,9,2018-03-12,10:00:00,2018-03-13,06:00:00,20:00:00,55.433,14.733,55.317,14.550,1,GFR,GW-BODDEN,27.3.D.24,37G3
19,16,2017,1,3,9,2017-03-19,06:00:00,2017-03-20,06:00:00,24:00:00,54.300,14.417,54.300,14.417,0,GFR,GREIFSWALDER BODDEN,27.3.D.24,37G3
20,17,2019,1,3,9,2019-03-10,18:00:00,2019-03-11,06:00:00,12:00:00,54.317,13.633,54.317,13.633,0,GFR,GREIFSWALDER BODDEN,27.3.D.24,37G3
21,18,2018,1,3,10,2018-03-25,06:00:00,2018-03-26,06:00:00,24:00:00,54.283,14.483,54.283,14.483,0,GFR,GW-BODDEN,27.3.D.24,37G3
22,19,2019,1,3,13,2019-03-24,06:00:00,2019-03-25,06:00:00,24:00:00,55.117,14.467,54.400,13.050,22,GFR,GREIFSWALDER BODDEN,27.3.D.24,37G3
