eunr;luea;reisenr;area;zone;statistical_rectangle;year;quarter;month;geraet;masche;species;harbour;vessel_length_class;sum_fangkg_fangnr_ort_monat;avg_trip_price;official_landings_value;target_species;metier
DEU200460220;11;19043947;27.3.c.22;DEU;37G0;2020;1;1;GTR;120;COD;DELAB;10-<12;18;3.57;64.26;FLE;GTR_DEF_110-156_0_0
DEU200460220;11;19043947;27.3.c.22;DEU;37G0;2020;1;1;GTR;120;FLE;DELAB;10-<12;35;0.69;24.15;FLE;GTR_DEF_110-156_0_0
DEU200460220;11;19043947;27.3.c.22;DEU;37G0;2020;1;1;GTR;120;PLE;DELAB;10-<12;30;1.55;46.5;FLE;GTR_DEF_110-156_0_0
DNK000011784;16.09;20000028;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;COD;DEKAP;12-<18;50;4.39;219.73;PLE;OTB_DEF_>=105_1_120
DNK000011784;16.09;20000028;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;DAB;DEKAP;12-<18;320;0.58;185.6;PLE;OTB_DEF_>=105_1_120
DNK000011784;16.09;20000028;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;FLE;DEKAP;12-<18;140;0.78;109.2;PLE;OTB_DEF_>=105_1_120
DNK000011784;16.09;20000028;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;LEM;DEKAP;12-<18;3;3.22;9.66;PLE;OTB_DEF_>=105_1_120
DNK000011784;16.09;20000028;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;PLE;DEKAP;12-<18;475;2.17;1040.75;PLE;OTB_DEF_>=105_1_120
DEU302280218;19.2;20000035;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;COD;DETRV;18-<24;263;3.43;903.25;PLE;OTB_DEF_>=105_1_120
DEU302280218;19.2;20000035;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;DAB;DETRV;18-<24;40;1.3;52;PLE;OTB_DEF_>=105_1_120
DEU302280218;19.2;20000035;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;FLE;DETRV;18-<24;50;0.82;41;PLE;OTB_DEF_>=105_1_120
DEU302280218;19.2;20000035;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;PLE;DETRV;18-<24;843;1.91;1610.13;PLE;OTB_DEF_>=105_1_120
DEU302280218;19.2;20000035;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;WHG;DETRV;18-<24;21;0.34;7.2;PLE;OTB_DEF_>=105_1_120
DEU100550210;18.29;20000036;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;COD;DEKAP;18-<24;29;4.16;120.75;DAB;OTB_DEF_>=105_1_120
DEU100550210;18.29;20000036;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;DAB;DEKAP;18-<24;500;0.86;430;PLE;OTB_DEF_>=105_1_120
DEU100550210;18.29;20000036;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;FLE;DEKAP;18-<24;125;0.86;107.5;PLE;OTB_DEF_>=105_1_120
DEU100550210;18.29;20000036;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;PLE;DEKAP;18-<24;650;1.94;1288.5;PLE;OTB_DEF_>=105_1_120
DEU100550210;18.29;20000036;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;TUR;DEKAP;18-<24;2;2.33;4.66;DAB;OTB_DEF_>=105_1_120
DEU100550210;18.29;20000036;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;WIT;DEKAP;18-<24;7;2.72;19.04;DAB;OTB_DEF_>=105_1_120
DEU200720219;14.42;20000037;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;COD;DEHED;12-<18;9;3.21;28.89;DAB;OTB_DEF_>=105_1_120
DEU200720219;14.42;20000037;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;DAB;DEHED;12-<18;950;1.03;978.5;DAB;OTB_DEF_>=105_1_120
DEU200720219;14.42;20000037;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;FLE;DEHED;12-<18;300;0.86;258;DAB;OTB_DEF_>=105_1_120
DEU200720219;14.42;20000037;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;PLE;DEHED;12-<18;750;1.98;1508.5;DAB;OTB_DEF_>=105_1_120
DEU100440209;14.56;20000038;27.3.c.22;DEU;38G0;2020;1;1;OTB;90;COD;DEKAP;12-<18;6;4.33;26;PLE;OTB_DEF_90-104_0_0
DEU100440209;14.56;20000038;27.3.c.22;DEU;38G0;2020;1;1;OTB;90;DAB;DEKAP;12-<18;312;0.76;237.12;PLE;OTB_DEF_90-104_0_0
DEU100440209;14.56;20000038;27.3.c.22;DEU;38G0;2020;1;1;OTB;90;FLE;DEKAP;12-<18;182;0.86;156.52;PLE;OTB_DEF_90-104_0_0
DEU100440209;14.56;20000038;27.3.c.22;DEU;38G0;2020;1;1;OTB;90;PLE;DEKAP;12-<18;782;2.14;1689.72;PLE;OTB_DEF_90-104_0_0
DEU200100208;17.18;20000039;27.3.c.22;DEU;38G0;2020;1;1;OTB;91;COD;DEECK;12-<18;88;4.35;382.5;PLE;OTB_DEF_90-104_0_0
DEU200100208;17.18;20000039;27.3.c.22;DEU;38G0;2020;1;1;OTB;91;DAB;DEECK;12-<18;125;1.08;135;PLE;OTB_DEF_90-104_0_0
DEU200100208;17.18;20000039;27.3.c.22;DEU;38G0;2020;1;1;OTB;91;FLE;DEECK;12-<18;125;0.95;118.75;PLE;OTB_DEF_90-104_0_0
DEU200100208;17.18;20000039;27.3.c.22;DEU;38G0;2020;1;1;OTB;91;PLE;DEECK;12-<18;625;2.34;1462.5;PLE;OTB_DEF_90-104_0_0
DEU200100208;17.18;20000039;27.3.c.22;DEU;38G0;2020;1;1;OTB;91;WIT;DEECK;12-<18;11;5.64;62;PLE;OTB_DEF_90-104_0_0
DNK000011784;16.09;20000040;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;COD;DEKAP;12-<18;47;4.35;204.4;PLE;OTB_DEF_>=105_1_120
DNK000011784;16.09;20000040;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;DAB;DEKAP;12-<18;925;0.58;536.5;PLE;OTB_DEF_>=105_1_120
DNK000011784;16.09;20000040;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;FLE;DEKAP;12-<18;170;0.78;132.6;PLE;OTB_DEF_>=105_1_120
DNK000011784;16.09;20000040;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;PLE;DEKAP;12-<18;975;2.18;2135.75;PLE;OTB_DEF_>=105_1_120
DEU100640223;17.88;20000041;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;COD;DEKAP;12-<18;88;4.73;415.5;PLE;OTB_DEF_>=105_1_120
DEU100640223;17.88;20000041;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;DAB;DEKAP;12-<18;200;0.72;144;PLE;OTB_DEF_>=105_1_120
DEU100640223;17.88;20000041;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;FLE;DEKAP;12-<18;190;0.85;161.5;PLE;OTB_DEF_>=105_1_120
DEU100640223;17.88;20000041;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;PLE;DEKAP;12-<18;1150;2.28;2634;PLE;OTB_DEF_>=105_1_120
DEU301090206;18.57;20000042;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;COD;DEBSK;18-<24;105;3.63;380.7;PLE;OTB_DEF_>=105_1_120
