eunr;luea;reisenr;area;zone;statistical_rectangle;year;quarter;month;geraet;masche;species;harbour;vessel_length_class;sum_fangkg_fangnr_ort_monat;avg_trip_price;official_landings_value;target_species;metier
DEU301090206;18.57;20000042;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;DAB;DEBSK;18-<24;600;1.15;690;PLE;OTB_DEF_>=105_1_120
DEU301090206;18.57;20000042;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;FLE;DEBSK;18-<24;240;0.85;204;PLE;OTB_DEF_>=105_1_120
DEU301090206;18.57;20000042;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;PLE;DEBSK;18-<24;640;1.99;1312;PLE;OTB_DEF_>=105_1_120
DEU301090206;18.57;20000042;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;TUR;DEBSK;18-<24;17;5.66;96.16;PLE;OTB_DEF_>=105_1_120
DEU300720207;25.7;20000046;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;COD;DEHHF;24-<40;5619;2.88;16181.55;PLE;OTB_DEF_>=105_1_120
DEU300720207;25.7;20000046;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;DAB;DEHHF;24-<40;73;0.68;49.64;PLE;OTB_DEF_>=105_1_120
DEU300720207;25.7;20000046;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;FLE;DEHHF;24-<40;260;0.68;176.8;PLE;OTB_DEF_>=105_1_120
DEU300720207;25.7;20000046;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;PLE;DEHHF;24-<40;1850;1.82;3366.99;PLE;OTB_DEF_>=105_1_120
DEU300720207;25.7;20000046;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;TUR;DEHHF;24-<40;14;4.62;64.74;PLE;OTB_DEF_>=105_1_120
DEU300720207;25.7;20000046;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;WHG;DEHHF;24-<40;10;0.47;4.7;PLE;OTB_DEF_>=105_1_120
DEU000080623;5.06;20000053;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FBR;DEKSW;<10;27;0.35;9.45;FPP;GNS_FWS_>0_0_0
DEU000080623;5.06;20000053;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPE;DEKSW;<10;4;0.99;3.95;FPP;GNS_FWS_>0_0_0
DEU000080623;5.06;20000053;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPI;DEKSW;<10;3;1.83;5.5;FBR;GNS_FWS_>0_0_0
DEU000080623;5.06;20000053;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPP;DEKSW;<10;36;5.67;224;FPP;GNS_FWS_>0_0_0
DEU000080623;5.06;20000053;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FRO;DEKSW;<10;3;0.35;1;FPP;GNS_FWS_>0_0_0
DEU000080623;5.06;20000053;27.3.d.24;DEU;37G3;2020;1;1;GNS;;PLN;DEKSW;<10;4;2.54;10.15;FPP;GNS_FWS_>0_0_0
DEU000120621;4.28;20000054;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPE;DEUEC;<10;3;0.98;2.95;FPP;GNS_FWS_>0_0_0
DEU000120621;4.28;20000054;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPP;DEUEC;<10;32;3.7;119.7;FPP;GNS_FWS_>0_0_0
DEU000120621;4.28;20000054;27.3.d.24;DEU;37G3;2020;1;1;GNS;;PLN;DEUEC;<10;5;2.66;13.05;FPP;GNS_FWS_>0_0_0
DEU000160621;5.2;20000055;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPI;DEUEC;<10;67;1.27;82.7;FPP;GNS_FWS_>0_0_0
DEU000160621;5.2;20000055;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPP;DEUEC;<10;142;4.09;586.4;FPP;GNS_FWS_>0_0_0
DEU000160621;5.2;20000055;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FRO;DEUEC;<10;2;0.4;0.8;FPI;GNS_FWS_>0_0_0
DEU000160621;5.2;20000055;27.3.d.24;DEU;37G3;2020;1;1;GNS;;PLN;DEUEC;<10;2;2.17;4.35;FPP;GNS_FWS_>0_0_0
DEU000700609;5.06;20000056;27.3.d.24;DEU;36G4;2020;1;1;GNS;;FBR;DEUCK;<10;348;0.33;118.1;FPP;GNS_FWS_>0_0_0
DEU000700609;5.06;20000056;27.3.d.24;DEU;36G4;2020;1;1;GNS;;FPE;DEUCK;<10;4;2;8;FPP;GNS_FWS_>0_0_0
DEU000700609;5.06;20000056;27.3.d.24;DEU;36G4;2020;1;1;GNS;;FPI;DEUCK;<10;9;2;18;FBR;GNS_FWS_>0_0_0
DEU000700609;5.06;20000056;27.3.d.24;DEU;36G4;2020;1;1;GNS;;FPP;DEUCK;<10;125;3.92;488.3;FPP;GNS_FWS_>0_0_0
DEU000700609;5.06;20000056;27.3.d.24;DEU;36G4;2020;1;1;GNS;;FRO;DEUCK;<10;8;0.36;2.8500005;FPP;GNS_FWS_>0_0_0
DEU000700609;5.06;20000056;27.3.d.24;DEU;36G4;2020;1;1;GNS;;PLN;DEUCK;<10;5;2.78;13.8;FPP;GNS_FWS_>0_0_0
DEU001180614;7.43;20000057;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FBR;DEWOL;<10;4100;0.73;3010;FBR;GNS_FWS_>0_0_0
DEU001180614;7.43;20000057;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FCP;DEWOL;<10;7;1.5;10.5;FPP;GNS_FWS_>0_0_0
DEU001180614;7.43;20000057;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPI;DEWOL;<10;505;1.73;1160.6;FPI;GNS_FWS_>0_0_0
DEU001180614;7.43;20000057;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPP;DEWOL;<10;281;6.69;1681;FPP;GNS_FWS_>0_0_0
DEU001180614;7.43;20000057;27.3.d.24;DEU;37G3;2020;1;1;GNS;;PLN;DEWOL;<10;10;2.95;29.8;FPP;GNS_FWS_>0_0_0
DEU001180614;7.43;20000057;27.3.d.24;DEU;37G3;2020;1;1;GNS;;SAL;DEWOL;<10;7;15.22;57.7;FPI;GNS_FWS_>0_0_0
DEU200720219;14.42;20000059;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;COD;DEHED;12-<18;12;3.21;38.52;DAB;OTB_DEF_>=105_1_120
DEU200720219;14.42;20000059;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;DAB;DEHED;12-<18;425;1.48;627;DAB;OTB_DEF_>=105_1_120
DEU200720219;14.42;20000059;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;FLE;DEHED;12-<18;210;0.82;168.3;DAB;OTB_DEF_>=105_1_120
DEU200720219;14.42;20000059;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;PLE;DEHED;12-<18;250;1.91;482.8;DAB;OTB_DEF_>=105_1_120
DEU000120500;19.09;20000060;27.3.c.22;DEU;38G0;2020;1;1;OTB;120;COD;DEMAO;18-<24;88;4.66;410.25;PLE;OTB_DEF_>=105_1_120
DEU000120500;19.09;20000060;27.3.c.22;DEU;38G0;2020;1;1;OTB;120;DAB;DEMAO;18-<24;200;0.83;166;PLE;OTB_DEF_>=105_1_120
DEU000120500;19.09;20000060;27.3.c.22;DEU;38G0;2020;1;1;OTB;120;FLE;DEMAO;18-<24;175;0.97;169.75;PLE;OTB_DEF_>=105_1_120
DEU000120500;19.09;20000060;27.3.c.22;DEU;38G0;2020;1;1;OTB;120;PLE;DEMAO;18-<24;475;2.21;1049.75;PLE;OTB_DEF_>=105_1_120
DEU000120500;19.09;20000060;27.3.c.22;DEU;38G0;2020;1;1;OTB;120;WIT;DEMAO;18-<24;11;2.83;31.1;PLE;OTB_DEF_>=105_1_120
DEU100550210;18.29;20000061;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;COD;DEKAP;18-<24;29;4.16;120.75;DAB;OTB_DEF_>=105_1_120
DEU100550210;18.29;20000061;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;DAB;DEKAP;18-<24;775;0.86;666.5;DAB;OTB_DEF_>=105_1_120
DEU100550210;18.29;20000061;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;FLE;DEKAP;18-<24;100;0.86;86;DAB;OTB_DEF_>=105_1_120
DEU100550210;18.29;20000061;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;PLE;DEKAP;18-<24;620;1.96;1228.4;DAB;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;BLL;DEHHF;18-<24;3;9.88;29.64;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;COD;DEHHF;18-<24;1604;2.96;4768.09;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;DAB;DEHHF;18-<24;38;1.24;47.29;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;FLE;DEHHF;18-<24;80;0.83;66.53;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;PLE;DEHHF;18-<24;385;2.05;793.96;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;SOL;DEHHF;18-<24;1;12.45;12.45;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;TUR;DEHHF;18-<24;22;5.37;118.09;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G0;2020;1;1;OTB;120;WHG;DEHHF;18-<24;20;0.52;10.4;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;COD;DEHHF;18-<24;13925;2.96;41382.89;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;DAB;DEHHF;18-<24;307;1.23;378.29;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;FLE;DEHHF;18-<24;430;0.83;357.61;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;PLE;DEHHF;18-<24;3266;2.04;6728.17;COD;OTB_DEF_>=105_1_120
DEU302530207;23.96;20000062;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;WHG;DEHHF;18-<24;137;0.53;72.8;COD;OTB_DEF_>=105_1_120
DEU100440209;14.56;20000063;27.3.c.22;DEU;38G0;2020;1;1;OTB;90;COD;DEKAP;12-<18;64;4.47;286;PLE;OTB_DEF_90-104_0_0
DEU100440209;14.56;20000063;27.3.c.22;DEU;38G0;2020;1;1;OTB;90;DAB;DEKAP;12-<18;331;0.76;251.56;PLE;OTB_DEF_90-104_0_0
DEU100440209;14.56;20000063;27.3.c.22;DEU;38G0;2020;1;1;OTB;90;FLE;DEKAP;12-<18;216;0.86;185.76;PLE;OTB_DEF_90-104_0_0
DEU100440209;14.56;20000063;27.3.c.22;DEU;38G0;2020;1;1;OTB;90;LEM;DEKAP;12-<18;11;2.09;23;PLE;OTB_DEF_90-104_0_0
DEU100440209;14.56;20000063;27.3.c.22;DEU;38G0;2020;1;1;OTB;90;PLE;DEKAP;12-<18;811;2.13;1752.76;PLE;OTB_DEF_90-104_0_0
DEU100440209;14.56;20000063;27.3.c.22;DEU;38G0;2020;1;1;OTB;90;SOL;DEKAP;12-<18;1;9.2;9.2;PLE;OTB_DEF_90-104_0_0
DEU100440209;14.56;20000063;27.3.c.22;DEU;38G0;2020;1;1;OTB;90;TUR;DEKAP;12-<18;4;2.78;11.12;PLE;OTB_DEF_90-104_0_0
DEU301080206;15.45;20000064;27.3.c.22;DEU;37G1;2020;1;1;OTB;105;COD;DEBSK;12-<18;468;3.27;1528.25;PLE;OTB_DEF_>=105_1_120
DEU301080206;15.45;20000064;27.3.c.22;DEU;37G1;2020;1;1;OTB;105;DAB;DEBSK;12-<18;25;1.27;31.75;PLE;OTB_DEF_>=105_1_120
DEU301080206;15.45;20000064;27.3.c.22;DEU;37G1;2020;1;1;OTB;105;FLE;DEBSK;12-<18;50;0.91;45.5;PLE;OTB_DEF_>=105_1_120
DEU301080206;15.45;20000064;27.3.c.22;DEU;37G1;2020;1;1;OTB;105;PLE;DEBSK;12-<18;650;1.95;1267.5;PLE;OTB_DEF_>=105_1_120
DEU100640223;17.88;20000065;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;COD;DEKAP;12-<18;88;4.72;415.5;PLE;OTB_DEF_>=105_1_120
DEU100640223;17.88;20000065;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;DAB;DEKAP;12-<18;315;0.72;226.8;PLE;OTB_DEF_>=105_1_120
DEU100640223;17.88;20000065;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;FLE;DEKAP;12-<18;185;0.85;157.25;PLE;OTB_DEF_>=105_1_120
DEU100640223;17.88;20000065;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;PLE;DEKAP;12-<18;1125;2.29;2576.25;PLE;OTB_DEF_>=105_1_120
DEU100640223;17.88;20000065;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;WIT;DEKAP;12-<18;2;4.13;8.26;PLE;OTB_DEF_>=105_1_120
DNK000011784;16.09;20000066;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;COD;DEKAP;12-<18;95;4.36;413.91;PLE;OTB_DEF_>=105_1_120
DNK000011784;16.09;20000066;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;DAB;DEKAP;12-<18;500;0.58;290;PLE;OTB_DEF_>=105_1_120
DNK000011784;16.09;20000066;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;FLE;DEKAP;12-<18;175;0.78;136.5;PLE;OTB_DEF_>=105_1_120
DNK000011784;16.09;20000066;27.3.c.22;DEU;38G0;2020;1;1;OTB;105;PLE;DEKAP;12-<18;750;2.18;1642.8;PLE;OTB_DEF_>=105_1_120
SWE000009717;51.72;20000072;27.3.d.28.2;EST;45H0;2020;1;1;OTM;16;HER;DENMK;>40;464;0.24;111.81;SPR;OTM_SPF_16-104_0_0
SWE000009717;51.72;20000072;27.3.d.28.2;EST;45H0;2020;1;1;OTM;16;SPR;DENMK;>40;55244;0.24;13313.68;SPR;OTM_SPF_16-104_0_0
SWE000009717;51.72;20000072;27.3.d.28.2;LVA;42H0;2020;1;1;OTM;16;FLE;DENMK;>40;64;0.24;15.42;SPR;OTM_SPF_16-104_0_0
SWE000009717;51.72;20000072;27.3.d.28.2;LVA;42H0;2020;1;1;OTM;16;HER;DENMK;>40;4640;0.24;1118.08;SPR;OTM_SPF_16-104_0_0
SWE000009717;51.72;20000072;27.3.d.28.2;LVA;42H0;2020;1;1;OTM;16;SPR;DENMK;>40;283751;0.24;68383.91;SPR;OTM_SPF_16-104_0_0
SWE000009717;51.72;20000072;27.3.d.28.2;LVA;42H0;2020;1;1;OTM;16;WHG;DENMK;>40;73;0.24;17.59;SPR;OTM_SPF_16-104_0_0
SWE000009717;51.72;20000072;27.3.d.28.2;SWE;42G8;2020;1;1;OTM;16;HER;DENMK;>40;6216;0.24;1498.23;SPR;OTM_SPF_16-104_0_0
SWE000009717;51.72;20000072;27.3.d.28.2;SWE;42G8;2020;1;1;OTM;16;SPR;DENMK;>40;213441;0.24;51439.23;SPR;OTM_SPF_16-104_0_0
DEU302610207;23.97;20000074;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;COD;DEHHF;18-<24;4691;3.97;18666.31;COD;OTB_DEF_>=105_1_120
DEU302610207;23.97;20000074;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;DAB;DEHHF;18-<24;2425;1.09;2651.83;COD;OTB_DEF_>=105_1_120
DEU302610207;23.97;20000074;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;FLE;DEHHF;18-<24;1026;0.82;842.13;COD;OTB_DEF_>=105_1_120
DEU302610207;23.97;20000074;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;PLE;DEHHF;18-<24;5182;1.95;10161.61;COD;OTB_DEF_>=105_1_120
DEU302610207;23.97;20000074;27.3.c.22;DEU;37G1;2020;1;1;OTB;120;TUR;DEHHF;18-<24;75;5.01;376.05;PLE;OTB_DEF_>=105_1_120
DEU000130621;4.97;20000075;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPE;DEUEC;<10;11;1.06;12.25;FPP;GNS_FWS_>0_0_0
DEU000130621;4.97;20000075;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPI;DEUEC;<10;57;1.24;68.4;FPP;GNS_FWS_>0_0_0
DEU000130621;4.97;20000075;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPP;DEUEC;<10;205;4.61;938.7;FPP;GNS_FWS_>0_0_0
DEU000130621;4.97;20000075;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FRO;DEUEC;<10;18;0.39;7;FPP;GNS_FWS_>0_0_0
DEU000130621;4.97;20000075;27.3.d.24;DEU;37G3;2020;1;1;GNS;;PLN;DEUEC;<10;11;2.42;27.55;FPP;GNS_FWS_>0_0_0
DEU000360624;4.65;20000076;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FBU;DEZMP;<10;2;2.5;5;FPP;GNS_FWS_>0_0_0
DEU000360624;4.65;20000076;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPE;DEZMP;<10;8;1.01;8.7;FPP;GNS_FWS_>0_0_0
DEU000360624;4.65;20000076;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPI;DEZMP;<10;71;1.28;81.9;FPP;GNS_FWS_>0_0_0
DEU000360624;4.65;20000076;27.3.d.24;DEU;37G3;2020;1;1;GNS;;FPP;DEZMP;<10;254;5.41;1323.7;FPP;GNS_FWS_>0_0_0
DEU000360624;4.65;20000076;27.3.d.24;DEU;37G3;2020;1;1;GNS;;PLN;DEZMP;<10;54;2.09;65.15;FPP;GNS_FWS_>0_0_0
DEU000360624;4.65;20000076;27.3.d.24;DEU;37G3;2020;1;1;GNS;;SAL;DEZMP;<10;20;5.44;63;FPP;GNS_FWS_>0_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;37G2;2020;1;1;GNS;;COD;DEBBH;<10;20;2;40;HER;GNS_SPF_32-109_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;37G2;2020;1;1;GNS;;FBR;DEBBH;<10;40;0.5;20;HER;GNS_SPF_32-109_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;37G2;2020;1;1;GNS;;FLE;DEBBH;<10;10;1;10;HER;GNS_SPF_32-109_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;37G2;2020;1;1;GNS;;FPE;DEBBH;<10;25;1;25;HER;GNS_SPF_32-109_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;37G2;2020;1;1;GNS;;FPI;DEBBH;<10;179;1.26;226.8;FPI;GNS_FWS_>0_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;37G2;2020;1;1;GNS;;FPP;DEBBH;<10;80;5;400;HER;GNS_SPF_32-109_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;37G2;2020;1;1;GNS;;FRO;DEBBH;<10;20;0.5;10;HER;GNS_SPF_32-109_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;37G2;2020;1;1;GNS;;HER;DEBBH;<10;740;0.67;510;HER;GNS_SPF_32-109_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;37G2;2020;1;1;GNS;;SAL;DEBBH;<10;2;12.5;25;HER;GNS_SPF_32-109_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;38G3;2020;1;1;GNS;;FPI;DEBBH;<10;121;1.28;151.4;FPI;GNS_FWS_>0_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;38G3;2020;1;1;GNS;;FPP;DEBBH;<10;40;4;160;FPI;GNS_FWS_>0_0_0
DEU000360648;4.95;20000077;27.3.d.24;DEU;38G3;2020;1;1;GNS;;HER;DEBBH;<10;60;0.5;30;HER;GNS_SPF_32-109_0_0
