eunr;luea;reisenr;area;zone;statistical_rectangle;year;quarter;month;geraet;masche;harbour;vessel_length_class;metier;BRZ;KW;days_at_sea;number_hauls;fangzeit;fangzeit_minuten
DEU000010619;8.60;20002725;27.3.d.24;DEU;37G3;2020;1;2;GNS;120;DEHDF;<10;GNS_ANA_>=157_0_0;5;36;2;1;24;1440
DEU000010619;8.60;20002727;27.3.d.24;DEU;37G3;2020;1;2;GNS;120;DEHDF;<10;GNS_ANA_>=157_0_0;5;36;2;1;24;1440
DEU000010619;8.60;20002980;27.3.d.24;DEU;37G3;2020;1;2;GNS;120;DEHDF;<10;GNS_ANA_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20002982;27.3.d.24;DEU;37G3;2020;1;2;GNS;120;DEHDF;<10;GNS_ANA_>=157_0_0;5;36;2;1;24;1440
DEU000010619;8.60;20003392;27.3.d.24;DEU;37G3;2020;1;2;GNS;120;DEHDF;<10;GNS_ANA_>=157_0_0;5;36;2;1;24;1440
DEU000010619;8.60;20006186;27.3.d.24;DEU;37G3;2020;1;2;GNS;120;DEHDF;<10;GNS_ANA_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20006189;27.3.d.24;DEU;37G3;2020;1;2;GNS;60;DEHDF;<10;GNS_SPF_32-109_0_0;5;36;2;1;24;1440
DEU000010619;8.60;20006190;27.3.d.24;DEU;37G3;2020;1;2;GNS;120;DEHDF;<10;GNS_ANA_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20006193;27.3.d.24;DEU;37G3;2020;1;3;GNS;120;DEHDF;<10;GNS_ANA_>=157_0_0;5;36;2;1;24;1440
DEU000010619;8.60;20009032;27.3.d.24;DEU;37G3;2020;1;3;GNS;120;DEHDF;<10;GNS_ANA_>=157_0_0;5;36;2;1;24;1440
DEU000010619;8.60;20009034;27.3.d.24;DEU;37G3;2020;1;3;GNS;120;DEHDF;<10;GNS_FWS_>0_0_0;5;36;2;1;24;1440
DEU000010619;8.60;20009037;27.3.d.24;DEU;37G3;2020;1;3;GNS;120;DEHDF;<10;GNS_ANA_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20009040;27.3.d.24;DEU;37G3;2020;1;3;GNS;120;DEHDF;<10;GNS_ANA_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20009043;27.3.d.24;DEU;37G3;2020;1;3;GNS;120;DEHDF;<10;GNS_DEF_110-156_0_0;5;36;2;1;24;1440
DEU000010619;8.60;20009046;27.3.d.24;DEU;37G3;2020;2;4;GNS;120;DEHDF;<10;GNS_DEF_110-156_0_0;5;36;2;1;24;1440
DEU000010619;8.60;20012229;27.3.d.24;DEU;37G3;2020;2;4;GNS;56;DEHDF;<10;GNS_SPF_32-109_0_0;5;36;2;1;24;1440
DEU000010619;8.60;20012233;27.3.d.24;DEU;37G3;2020;2;4;GNS;220;DEHDF;<10;GNS_DEF_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20014128;27.3.d.24;DEU;37G3;2020;2;5;GNS;220;DEHDF;<10;GNS_DEF_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20014131;27.3.d.24;DEU;37G3;2020;2;5;GNS;220;DEHDF;<10;GNS_DEF_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20014134;27.3.d.24;DEU;37G3;2020;2;5;GNS;220;DEHDF;<10;GNS_DEF_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20016271;27.3.d.24;DEU;37G3;2020;2;5;GNS;220;DEHDF;<10;GNS_DEF_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20016276;27.3.d.24;DEU;37G3;2020;2;5;GNS;220;DEHDF;<10;GNS_DEF_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20016279;27.3.d.24;DEU;37G3;2020;2;5;GNS;220;DEHDF;<10;GNS_DEF_>=157_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20025608;27.3.d.24;DEU;37G3;2020;3;9;GNS;140;DEHDF;<10;GNS_DEF_110-156_0_0;5;36;3;1;48;2880
DEU000010619;8.60;20025611;27.3.d.24;DEU;37G3;2020;3;9;GNS;130;DEHDF;<10;GNS_DEF_110-156_0_0;5;36;3;1;48;2880
