ha_index,tr_index,fishing_depth_min,fishing_depth_max,water_depth,metier_lvl_5,metier_lvl_6,gear,mesh_size_range,selection_device,selection_device_mesh,target_species_group,target_species,number_species,total_catch,gear_addition,mesh_size,codend_mesh_size,footrope,footrope_length,jager_length,net_board_dist,net_horizontal,net_vertical,net_girth,curl_line_length,roller_diameter,beam_length,beam_chains,setnet_number,setnet_length,setnet_height,setnet_total_length,pinger,pinger_type,hooks,traps
15,13,2,3,6,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,3,67, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,12,50,3,600,,,-9,-9
16,14,10,10,10,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,604,4,12, ,110,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,8,50,1.5,400,,,-9,-9
17,14,10,10,10,GNS_DEF,GNS_DEF_110-156_0_0,GTR,110-156,0,0,DEF,604,2,43, ,140,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,1,50,1,50,,,-9,-9
18,15,13,15,15,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,1000, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,1,250,6,250,,,-9,-9
19,16,6,8,8,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,1200,INNENSTEERT,56,-9,STANDARD,-9,-9,-9,,,-9,-9,-9,-9,-9,18,44,6,792,,,-9,-9
20,17,5,7,7,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,293,1,1000, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,15,53,6,795,,,-9,-9
21,18,6,9,9,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,700, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,24,33,6,792,,,-9,-9
22,19,5,7,7,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,300, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,15,53,6,795,,,-9,-9
23,20,4,8,8,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,750,INNENSTEERT,56,-9,STANDARD,-9,-9,-9,,,-9,-9,-9,-9,-9,24,33,6,792,,,-9,-9
24,21,10,20,20,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,181,5,430, ,120,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,50,50,2.4,2500,,,-9,-9
25,22,4,9,9,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,6,302, ,127,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,2,50,-9,100,,,-9,-9
26,23,26,33,33,OTB_DEF,OTB_DEF_>=105_1_120,OTB,>=105,1,120,DEF,607,6,665, ,-9,120, ,21,-9,-9,-9,1.6,220,-9,-9,-9,-9,-9,,,,,,-9,-9
27,24,4,9,9,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,3,106, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,20,50,2.5,1000,,,-9,-9
28,24,4,7,7,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,1,75, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,10,50,2.5,500,,,-9,-9
29,24,4,9,9,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,3,73, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,10,50,2.5,500,,,-9,-9
30,24,6,9,9,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,1,30, ,120,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,10,50,2.5,500,,,-9,-9
31,24,2,5,5,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,1,118, ,120,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,10,50,2.5,500,,,-9,-9
32,25,9,15,15,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,181,5,56, ,220,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,80,75,2.2,6000,,,-9,-9
33,26,6,8,8,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,293,1,2280, ,58,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,40,25,6,1000,,,-9,-9
34,27,5,5,5,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,1500,INNENSTEERT,58,-9,STANDARD,-9,-9,-9,,,-9,-9,-9,-9,-9,40,25,6,1000,,,-9,-9
35,28,5,6,6,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,3690, ,58,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,120,25,6.5,3000,,,-9,-9
36,29,7,8,8,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,900,INNENSTEERT,56,-9,STANDARD,-9,-9,-9,,,-9,-9,-9,-9,-9,50,25,6,1250,,,-9,-9
37,30,25,30,30,OTB_DEF,OTB_DEF_>=120_1_120,OTB,>=120,1,120,DEF,607,8,236, ,120,120, ,28,-9,-9,-9,2,340,-9,-9,-9,-9,-9,,,,,,-9,-9
38,31,20,25,25,OTB_DEF,OTB_DEF_>=105_1_120,OTB,>=105,1,120,DEF,407,7,302, ,-9,110, ,25,-9,-9,-9,2,340,-9,-9,-9,-9,-9,,,,,,-9,-9
39,32,22,25,25,OTB_DEF,OTB_DEF_>=120_1_120,OTB,>=120,1,120,DEF,607,7,1079, ,-9,120, ,-9,-9,-9,12,2,300,250,-9,-9,-9,-9,,,,,,-9,-9
40,32,22,27,27,OTB_DEF,OTB_DEF_>=120_1_120,OTB,>=120,1,120,DEF,607,8,910, ,-9,120, ,-9,-9,-9,12,2,300,250,-9,-9,-9,-9,,,,,,-9,-9
41,33,-9,-9,-9,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,4,44,INNENSTEERT,-9,-9,STANDARD,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
42,34,-9,-9,30,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,468,3,14000, ,-9,32, ,40,-9,-9,-9,8,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
43,35,-9,-9,-9,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,732,3,40000, ,-9,32, ,40,-9,-9,-9,8,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
44,36,39,42,42,OTB_DEF,OTB_DEF_>=105_1_120,OTB,>=105,1,120,DEF,181,4,60, ,110,120, ,17,-9,-9,-9,1.8,-9,250,-9,-9,-9,-9,,,,,,-9,-9
45,36,20,23,23,OTB_DEF,OTB_DEF_>=105_1_120,OTB,>=105,1,120,DEF,181,3,100, ,110,120, ,17,-9,-9,-9,1.8,-9,250,-9,-9,-9,-9,,,,,,-9,-9
46,37,17,19,19,OTB_DEF,OTB_DEF_>=120_1_120,OTB,>=120,1,120,DEF,181,1,-9, ,120,120, ,16,-9,-9,-9,1.7,-9,250,-9,-9,-9,-9,,,,,,-9,-9
47,37,35,41,41,OTB_DEF,OTB_DEF_>=120_1_120,OTB,>=120,1,120,DEF,181,-9,-9, ,120,120, ,16,-9,-9,-9,1.7,-9,250,-9,-9,-9,-9,,,,,,-9,-9
48,37,15,16,16,OTB_DEF,OTB_DEF_>=120_1_120,OTB,>=120,1,120,DEF,181,-9,-9, ,120,120, ,16,-9,-9,-9,1.7,-9,250,-9,-9,-9,-9,,,,,,-9,-9
49,38,-9,-9,15,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,2,7159, ,-9,40, ,30,-9,-9,-9,7,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
50,39,-9,-9,17,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,1,4500, ,-9,46, ,-9,-9,-9,35,7,-9,-9,-9,-9,-9,36,,,,,,-9,-9
51,40,-9,-9,17,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,8,4500, ,-9,46, ,35,-9,-9,-9,7,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
52,41,-9,-9,-9,PTM_SPF,PTM_SPF_32-104_0_0,OTM,32-104,0,0,SPF,181,3,7159, ,-9,40, ,30,-9,-9,-9,7,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
53,42,4,5,16,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,3,3148, ,-9,36, ,32,-9,-9,-9,11,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
54,43,7,7,17,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,8,8000, ,-9,46, ,43,-9,-9,-9,7,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
55,44,12,13,13,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,293,1,320, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,25,25,6,625,,,-9,-9
56,45,1,5,5,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,2,111, ,120,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,24,50,3.6,1200,,,-9,-9
57,45,0,6,6,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,2,115, ,110,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,36,50,4.5,1800,,,-9,-9
58,45,1,6,6,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,2,92, ,110,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,36,50,3.6,1800,,,-9,-9
59,46,3,12,12,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,65, ,54,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,12,5,5.5,60,,,-9,-9
60,47,16,16,16,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,63,INNENSTEERT,-9,-9,STANDARD,-9,-9,-9,,,-9,-9,-9,-9,-9,-9,-9,-9,,,,-9,-9
61,48,-9,-9,28,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,1,53995,INNENSTEERT,-9,35,STANDARD,45,-9,-9,-9,21,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
62,49,20,28,28,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,1,54000, ,-9,35, ,-9,-9,-9,45,21,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
63,50,-9,-9,-9,GNS_SPF,GNS_SPF_32-109_0_0,FYK,32-109,0,0,SPF,293,5,37, ,-9,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
64,51,6,6,6,FYK_SPF,FYK_SPF_>0_0_0,FPN,>0,0,0,SPF,181,2,435,INNENSTEERT,-9,-9,STANDARD,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
65,52,6,6,6,FWR_SPF,FWR_SPF_>0_0_0,FWR,>0,0,0,SPF,181,1,3000,INNENSTEERT,-9,-9,STANDARD,-9,-9,-9,900,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
66,53,6,6,6,FYK_SPF,FYK_SPF_>0_0_0,FYK,0,0,0,SPF,181,1,1000, ,48,-9, ,-9,-9,-9,800,5,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
67,54,1,7,7,FWR_SPF,FWR_SPF_>0_0_0,FWR,>0,0,0,SPF,181,4,6000,INNENSTEERT,-9,-9,STANDARD,-9,-9,-9,700,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
68,55,6,6,6,FYK_SPF,FYK_SPF_>0_0_0,FYK,0,0,0,SPF,293,3,700, ,48,-9,,-9,-9,-9,800,5,-9,-9,-9,-9,-9,1,,,,,,-9,-9
69,56,7,7,7,FWR_SPF,FWR_SPF_>0_0_0,FWR,>0,0,0,SPF,181,1,6500, ,54,-9, ,-9,-9,-9,700,7,-9,-9,-9,-9,-9,2,,,,,,-9,-9
70,57,1,7,7,FWR_SPF,FWR_SPF_>0_0_0,FWR,>0,0,0,SPF,181,1,45,INNENSTEERT,-9,-9,STANDARD,-9,-9,-9,700,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
71,58,6,6,6,FWR_SPF,FWR_SPF_>0_0_0,FWR,>0,0,0,SPF,181,1,4000, ,36,-9,,-9,-9,-9,400,6,-9,-9,-9,-9,-9,2,,,,,,-9,-9
72,59,2,4,4,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,1,210,INNENSTEERT,115,-9,STANDARD,50,-9,-9,,,-9,-9,-9,-9,-9,-9,-9,2,,,,-9,-9
73,60,8,12,12,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,604,7,450, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,-9,40,2,,,,-9,-9
74,61,10,10,12,GTR_DEF,GTR_DEF_110-156_0_0,GTR,110-156,0,0,DEF,604,1,11, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,10,40,2,400,,,-9,-9
75,61,8,8,10,GTR_DEF,GTR_DEF_110-156_0_0,GTR,110-156,0,0,DEF,604,1,20, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,10,40,2,400,,,-9,-9
76,61,10,10,12,GTR_DEF,GTR_DEF_110-156_0_0,GTR,110-156,0,0,DEF,604,1,31, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,20,40,2,800,,,-9,-9
77,61,12,12,14,GTR_DEF,GTR_DEF_110-156_0_0,GTR,110-156,0,0,DEF,604,1,21, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,10,40,2,400,,,-9,-9
78,61,13,13,15,GTR_DEF,GTR_DEF_110-156_0_0,GTR,110-156,0,0,DEF,604,1,49, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,20,40,2,800,,,-9,-9
79,61,13,13,15,GTR_DEF,GTR_DEF_110-156_0_0,GTR,110-156,0,0,DEF,604,1,49, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,20,40,2,800,,,-9,-9
80,62,-9,-9,9,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,2000,INNENSTEERT,56,-9,STANDARD,-9,-9,-9,,,-9,-9,-9,-9,-9,20,50,4,1000,,,-9,-9
81,63,8,8,8,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,1500, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,24,50,4,1200,,,-9,-9
82,64,8,8,8,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,1700, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,20,50,4,1000,,,-9,-9
83,65,8,8,8,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,500, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,20,50,4,1000,,,-9,-9
84,66,12,17,17,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,6,537, ,110,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,-9,52,3.2,,,,-9,-9
85,67,8,10,10,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,293,3,76, ,64,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,1,32,7.2,32,,,-9,-9
86,68,6,8,8,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,100, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,5,50,7,250,,,-9,-9
87,69,5,8,8,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,400,INNENSTEERT,56,-9,STANDARD,-9,-9,-9,,,-9,-9,-9,-9,-9,50,25,7,1250,,,-9,-9
88,70,7,7,7,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,1000, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,12,42,7,504,,,-9,-9
89,71,7,7,7,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,2000,INNENSTEERT,56,-9,STANDARD,-9,-9,-9,,,-9,-9,-9,-9,-9,30,25,7,750,,,-9,-9
90,72,7,7,7,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,1500,INNENSTEERT,56,-9,STANDARD,-9,-9,-9,,,-9,-9,-9,-9,-9,40,25,7,1000,,,-9,-9
91,73,7,7,7,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,300, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,40,25,7,1000,,,-9,-9
92,74,7,7,7,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,2000, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,40,25,7,1000,,,-9,-9
93,75,7,7,7,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,293,1,600, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,27,28,7,756,,,-9,-9
94,76,7,7,7,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,500, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,25,30,7,750,,,-9,-9
95,77,-9,-9,21,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,1,69050,INNENSTEERT,-9,38,STANDARD,43,-9,-9,-9,17,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
96,78,7,7,7,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,1200,INNENSTEERT,56,-9,STANDARD,-9,-9,-9,,,-9,-9,-9,-9,-9,40,30,7,1200,,,-9,-9
97,79,0,2,22,PTB_SPF,PTB_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,1,27000, ,-9,32, ,46,-9,-9,-9,23,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
98,80,1,32,33,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,1,13000, ,-9,32, ,46,-9,-9,-9,18,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
99,81,1,22,22,PTB_SPF,PTB_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,5,27000, ,-9,32, ,46,-9,-9,-9,23,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
100,82,-9,-9,17,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,6,9000, 50#,-9,-9, ,46,-9,-9,-9,27.5,50,-9,-9,-9,-9,-9,,,,,,-9,-9
101,83,-9,-9,20,,,PTM,,,,,,8,421, ,-9,33, ,46,-9,-9,-9,23,50,-9,-9,-9,-9,-9,,,,,,-9,-9
102,84,1,2,18,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,8,21000, ,-9,33, ,46,-9,-9,-9,23,50,-9,-9,-9,-9,-9,,,,,,-9,-9
103,85,1,2,26,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,7,24378, ,-9,33, ,46,-9,-9,-9,23,50,-9,-9,-9,-9,-9,,,,,,-9,-9
104,86,60,70,70,OTB_DEF,OTB_DEF_>=105_1_120,OTB,>=105,1,120,DEF,293,1,3188, ,120,120,STANDARD,-9,-9,-9,-9,4.2,450,-9,-9,-9,-9,-9,,,,,,-9,-9
105,87,7,10,10,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,604,10,250, ,125,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,-9,56,3.1,,,,-9,-9
106,88,9,11,11,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,181,3,300, ,220,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,180,50,1.2,9000,,,-9,-9
107,89,4,6,6,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,604,8,344, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,-9,50,2.5,,,,-9,-9
108,90,2,28,28,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,181,3,1425,,120,,,,,,,,,,,,,150,60,3,9000,,,,
109,91,3,6,6,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,181,7,1840,,130,,,,,,,,,,,,,120,63,3,7560,,,,
110,92,3,4,4,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,2,1880, ,58,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,36,41.7,3.5,1501.2,,,-9,-9
111,93,3,3,3,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,3000, ,56,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,40,50,2.2,2000,,,-9,-9
112,94,5,7,7,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,181,1,2310, ,54,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,-9,20,6.5,,,,-9,-9
113,95,10,11,11,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,1,7, ,120,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,5,50,2.5,250,,,-9,-9
114,95,12,12,12,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,5,23, ,120,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,5,50,2.5,250,,,-9,-9
115,95,13,15,15,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,2,1, ,120,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,5,50,2.5,250,,,-9,-9
116,95,10,10,10,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,2,2, ,120,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,5,50,2.5,250,,,-9,-9
117,95,11,12,12,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,2,4, ,120,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,5,50,2.5,250,,,-9,-9
118,96,10,12,12,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,604,1,156, ,136,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,40,50,2,2000,,,-9,-9
119,97,4,11,11,FPO_DEF,FPO_DEF_>0_0_0,FPO,0,0,0,DEF,293,8,630, ,-9,-9, ,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,1
120,98,14,21,21,OTB_DEF,OTB_DEF_>=105_1_120,OTB,>=105,1,120,DEF,607,6,199, ,-9,-9, ,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
121,98,14,21,21,OTB_DEF,OTB_DEF_>=105_1_120,OTB,>=105,1,120,DEF,607,5,190, ,-9,-9, ,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
122,98,15,20,20,OTB_DEF,OTB_DEF_>=105_1_120,OTB,>=105,1,120,DEF,607,7,226, ,-9,-9, ,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
123,98,15,20,20,OTB_DEF,OTB_DEF_>=105_1_120,OTB,>=105,1,120,DEF,607,6,130, ,-9,-9, ,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
