ha_index,tr_index,fishing_depth_min,fishing_depth_max,water_depth,metier_lvl_5,metier_lvl_6,gear,mesh_size_range,selection_device,selection_device_mesh,target_species_group,target_species,number_species,total_catch,gear_addition,mesh_size,codend_mesh_size,footrope,footrope_length,jager_length,net_board_dist,net_horizontal,net_vertical,net_girth,curl_line_length,roller_diameter,beam_length,beam_chains,setnet_number,setnet_length,setnet_height,setnet_total_length,pinger,pinger_type,hooks,traps
1,1,8,10,10,GNS_SPF,GNS_SPF_32-109_0_0,GNS,32-109,0,0,SPF,630,1,1100, ,70,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,-9,86,2,,,,-9,-9
2,2,16,28,28,OTB_DEF,OTB_DEF_>=120_1_120,OTB,>=120,1,120,DEF,293,8,177, ,-9,120, ,36,-9,-9,-9,3,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
3,3,20,39,39,OTB_DEF,OTB_DEF_>=105_1_120,OTB,>=105,1,120,DEF,604,4,448, ,-9,120, ,30,-9,-9,-9,6,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
4,4,2,4,22,PTB_SPF,PTB_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,2,7000, ,-9,38, ,32,-9,-9,-9,12,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
5,5,-9,-9,19,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,5,14000, ,-9,38, ,32,-9,-9,-9,12,360,-9,-9,-9,-9,-9,,,,,,-9,-9
6,6,11,11,16,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,2,30000, ,-9,32, ,-9,-9,-9,35,10,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
7,7,2,14,22,PTB_SPF,PTB_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,7,7000, ,-9,38, ,-9,-9,-9,-9,12,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
8,8,-9,-9,-9,PTB_SPF,PTB_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,1,-9, ,-9,-9, ,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
9,9,1,4,18,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,4,6000, ,-9,32, ,30,-9,-9,-9,10,500,-9,-9,-9,-9,-9,,,,,,-9,-9
10,10,-9,-9,-9,PTB_SPF,PTB_SPF_32-104_0_0,PTB,32-104,0,0,SPF,181,6,20928, ,-9,-9, ,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
11,11,2,3,18,PTM_SPF,PTM_SPF_32-104_0_0,PTM,32-104,0,0,SPF,181,6,9, ,-9,36, ,32,-9,-9,-9,11,-9,-9,-9,-9,-9,-9,,,,,,-9,-9
12,12,10,15,15,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,2,1231, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,-9,-9,2.5,,,,-9,-9
13,13,1,4,4,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,4,172, ,120,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,12,50,3,600,,,-9,-9
14,13,2,3,6,GNS_DEF,GNS_DEF_110-156_0_0,GNS,110-156,0,0,DEF,293,3,177, ,130,-9, ,-9,-9,-9,,,-9,-9,-9,-9,-9,12,50,3,600,,,-9,-9
