we_index;ha_index;species;aphiaid;latin_name;catch_category;total_weight;total_numbers;subsample_weight;subsample_numbers;number_measured;weight_unit;length_unit;comments
1;1;293;;;D;0,1;1;0,1;1;1;;cm below;
2;1;407;;;D;62,5;661;3,5;37;37;;cm below;
3;1;479;;;D;0;0;0;0;0;;cm below;
4;1;604;;;D;8,75;53;1;6;6;;cm below;
5;1;607;;;D;80,357;714;9;80;80;;cm below;
6;1;630;;;D;0,3;1;0,3;1;1;;cm below;
7;1;716;;;D;0;0;0;0;0;;cm below;
8;1;293;;;D;0,5;1;0,5;1;1;;cm below;
9;1;407;;;D;48,125;605;3,5;44;44;;cm below;
10;1;479;;;D;0;0;0;0;0;;cm below;
11;1;604;;;D;1,406;14;0,1;1;1;;cm below;
12;1;607;;;D;87,09;707;8,5;69;69;;cm below;
13;1;630;;;D;0;0;0;0;0;;cm below;
14;1;690;;;D;0;0;0;0;0;;cm below;
15;1;716;;;D;0;0;0;0;0;;cm below;
16;1;293;;;D;0,1;1;0,1;1;1;;cm below;
17;1;407;;;D;62,5;661;3,5;37;37;;cm below;
18;1;479;;;D;0;0;0;0;0;;cm below;
19;1;604;;;D;8,75;53;1;6;6;;cm below;
20;1;607;;;D;80,357;714;9;80;80;;cm below;
21;1;630;;;D;0,3;1;0,3;1;1;;cm below;
22;1;716;;;D;0;0;0;0;0;;cm below;
23;1;293;;;D;0,5;1;0,5;1;1;;cm below;
24;1;407;;;D;48,125;605;3,5;44;44;;cm below;
25;1;479;;;D;0;0;0;0;0;;cm below;
26;1;604;;;D;1,406;14;0,1;1;1;;cm below;
27;1;607;;;D;87,09;707;8,5;69;69;;cm below;
28;1;630;;;D;0;0;0;0;0;;cm below;
29;1;690;;;D;0;0;0;0;0;;cm below;
30;1;716;;;D;0;0;0;0;0;;cm below;
31;3;181;;;D;0,256;3;0,077;1;1;;scm below;
32;3;293;;;D;19,107;77;5,742;23;23;;cm below;
33;3;589;;;D;0,383;3;0,115;1;1;;cm below;
34;3;604;;;D;8,688;55;9,453;60;60;;cm below;
35;3;630;;;D;33,615;146;10,102;44;44;;cm below;
36;3;683;;;D;1,201;3;0,361;1;1;;cm below;
37;3;690;;;D;1,341;7;0,403;2;2;;cm below;
38;3;181;;;D;0,256;3;0,077;1;1;;scm below;
39;3;293;;;D;19,107;77;5,742;23;23;;cm below;
40;3;589;;;D;0,383;3;0,115;1;1;;cm below;
41;3;604;;;D;8,688;55;9,453;60;60;;cm below;
42;3;630;;;D;33,615;146;10,102;44;44;;cm below;
43;3;683;;;D;1,201;3;0,361;1;1;;cm below;
44;3;690;;;D;1,341;7;0,403;2;2;;cm below;
45;4;293;;;D;0,1;1;0,1;1;1;;cm below;
46;4;407;;;D;62,5;661;3,5;37;37;;cm below;
47;4;479;;;D;0;0;0;0;0;;cm below;
48;4;604;;;D;8,75;53;1;6;6;;cm below;
49;4;607;;;D;80,357;714;9;80;80;;cm below;
50;4;630;;;D;0,3;1;0,3;1;1;;cm below;
51;4;716;;;D;0;0;0;0;0;;cm below;
52;4;293;;;D;0,5;1;0,5;1;1;;cm below;
53;4;407;;;D;48,125;605;3,5;44;44;;cm below;
54;4;479;;;D;0;0;0;0;0;;cm below;
55;4;604;;;D;1,406;14;0,1;1;1;;cm below;
56;4;607;;;D;87,09;707;8,5;69;69;;cm below;
57;4;630;;;D;0;0;0;0;0;;cm below;
58;4;690;;;D;0;0;0;0;0;;cm below;
59;4;716;;;D;0;0;0;0;0;;cm below;
60;4;293;;;D;0,1;1;0,1;1;1;;cm below;
61;4;407;;;D;62,5;661;3,5;37;37;;cm below;
62;4;479;;;D;0;0;0;0;0;;cm below;
63;4;604;;;D;8,75;53;1;6;6;;cm below;
64;4;607;;;D;80,357;714;9;80;80;;cm below;
65;4;630;;;D;0,3;1;0,3;1;1;;cm below;
66;4;716;;;D;0;0;0;0;0;;cm below;
67;4;293;;;D;0,5;1;0,5;1;1;;cm below;
68;4;407;;;D;48,125;605;3,5;44;44;;cm below;
69;4;479;;;D;0;0;0;0;0;;cm below;
70;4;604;;;D;1,406;14;0,1;1;1;;cm below;
71;4;607;;;D;87,09;707;8,5;69;69;;cm below;
72;4;630;;;D;0;0;0;0;0;;cm below;
73;4;690;;;D;0;0;0;0;0;;cm below;
74;4;716;;;D;0;0;0;0;0;;cm below;
75;6;181;;;D;0,256;3;0,077;1;1;;scm below;
76;6;293;;;D;19,107;77;5,742;23;23;;cm below;
77;6;589;;;D;0,383;3;0,115;1;1;;cm below;
78;6;604;;;D;8,688;55;9,453;60;60;;cm below;
79;6;630;;;D;33,615;146;10,102;44;44;;cm below;
80;6;683;;;D;1,201;3;0,361;1;1;;cm below;
81;6;690;;;D;1,341;7;0,403;2;2;;cm below;
82;6;181;;;D;0,256;3;0,077;1;1;;scm below;
83;6;293;;;D;19,107;77;5,742;23;23;;cm below;
84;6;589;;;D;0,383;3;0,115;1;1;;cm below;
85;6;604;;;D;8,688;55;9,453;60;60;;cm below;
86;6;630;;;D;33,615;146;10,102;44;44;;cm below;
87;6;683;;;D;1,201;3;0,361;1;1;;cm below;
88;6;690;;;D;1,341;7;0,403;2;2;;cm below;
89;7;604;;;D;7,3;40;7,3;40;40;;cm below;
90;7;630;;;D;0,5;3;0,5;3;3;;cm below;
91;7;683;;;D;0,5;1;0,5;1;1;;cm below;
92;7;690;;;D;0,3;1;0,3;1;1;;cm below;
93;7;740;;;D;0,16;1;0,16;1;1;;cm below;
94;7;604;;;D;13;72;13;72;72;;cm below;
95;7;630;;;D;0,5;3;0,5;3;3;;cm below;
96;7;293;;;D;2,9;4;2,9;4;4;;cm below;
97;7;589;;;D;0,12;1;0,12;1;1;;cm below;
98;7;604;;;D;20,8;116;20,8;116;116;;cm below;
99;7;630;;;D;8,1;36;8,1;36;36;;cm below;
100;7;690;;;D;0,55;3;0,55;3;3;;cm below;
101;7;293;;;D;0,5;1;0,5;1;1;;cm below;
102;7;604;;;D;14,2;79;14,2;79;79;;cm below;
103;7;630;;;D;4,3;18;4,3;18;18;;cm below;
104;7;690;;;D;0,5;2;0,5;2;2;;cm below;
105;7;293;;;D;7,3;10;7,3;10;10;;cm below;
106;7;604;;;D;32,4;179;32,4;179;179;;cm below;
107;7;630;;;D;17,6;69;17,6;69;69;;cm below;
108;7;690;;;D;0,5;2;0,5;2;2;;cm below;
109;7;604;;;D;32,2;179;32,2;179;179;;cm below;
110;7;630;;;D;4,5;21;4,5;21;21;;cm below;
111;7;690;;;D;0,3;1;0,3;1;1;;cm below;
112;7;604;;;D;7,3;40;7,3;40;40;;cm below;
113;7;630;;;D;0,5;3;0,5;3;3;;cm below;
114;7;683;;;D;0,5;1;0,5;1;1;;cm below;
115;7;690;;;D;0,3;1;0,3;1;1;;cm below;
116;7;740;;;D;0,16;1;0,16;1;1;;cm below;
117;7;604;;;D;13;72;13;72;72;;cm below;
118;7;630;;;D;0,5;3;0,5;3;3;;cm below;
119;7;293;;;D;2,9;4;2,9;4;4;;cm below;
120;7;589;;;D;0,12;1;0,12;1;1;;cm below;
121;7;604;;;D;20,8;116;20,8;116;116;;cm below;
122;7;630;;;D;8,1;36;8,1;36;36;;cm below;
123;7;690;;;D;0,55;3;0,55;3;3;;cm below;
124;7;293;;;D;0,5;1;0,5;1;1;;cm below;
125;7;604;;;D;14,2;79;14,2;79;79;;cm below;
126;7;630;;;D;4,3;18;4,3;18;18;;cm below;
127;7;690;;;D;0,5;2;0,5;2;2;;cm below;
128;7;293;;;D;7,3;10;7,3;10;10;;cm below;
129;7;604;;;D;32,4;179;32,4;179;179;;cm below;
130;7;630;;;D;17,6;69;17,6;69;69;;cm below;
