tr_index;year;trip_number;eunr;vessel_name;vessel_sign;start_date;end_date;start_loc;end_loc;observer;trip_valid;trip_type
1;2018;40329;DEU000010001;vessel1;fkz1;2018-09-10;2018-09-11;DEHAR8;DEHAR8;HGH;t;
2;2018;40314;DEU000010002;vessel2;fkz2;2018-04-25;2018-04-25;DEHAR5;DEHAR5; DE;t;
3;2018;40333;DEU000010002;vessel2;fkz2;2018-10-19;2018-10-19;DEHAR5;DEHAR5;HGH;t;
4;2019;40819;DEU000010002;vessel2;fkz2;2019-11-25;2019-11-26;DEHER;DEHER;HER;t;
5;2018;41405;DEU000010002;vessel2;fkz2;2018-03-12;2018-03-13;DEHAR19;DEHAR19;MUK;t;
6;2017;41408;DEU000010002;vessel2;fkz2;2017-03-27;2017-03-28;DEHAR19;DEHAR19;MUK;t;
7;2019;41408;DEU000010002;vessel2;fkz2;2019-11-25;2019-11-26;DEHAR19;DEHAR19;HGH;t;
8;2019;41410;DEU000010002;vessel2;fkz2;2019-12-11;2019-12-12;DEHAR19;DEHAR19;HGH;t;
9;2017;41412;DEU000010002;vessel2;fkz2;2017-11-07;2017-11-08;DEHAR19;DEHAR19;MUK;t;
10;2019;41412;DEU000010002;vessel2;fkz2;2019-12-16;2019-12-17;DEHAR19;DEHAR19;HGH;t;
11;2017;41418;DEU000010002;vessel2;fkz2;2017-11-29;2017-11-30;DEHAR19;DEHAR19;MUK;t;
12;2019;40333;DEU000010003;vessel3;fkz3;2019-10-22;2019-10-23;DEHAR7;DEHAR7;HGH;t;
13;2019;40613;DEU000010003;vessel3;fkz3;2019-10-08;2019-10-08;DEHAR22;DEHAR22;CNR;t;
14;2018;40607;DEU000010004;vessel4;fkz4;2018-11-02;2018-11-02;DEHAR5;DEHAR5;CNR;t;
15;2018;40809;DEU000010004;vessel4;fkz4;2018-03-12;2018-03-13;DEHER;DEHER;HER;t;
16;2017;40809;DEU000010005;vessel5;fkz5;2017-03-19;2017-03-20;DEHER;DEHER;HER;t;
17;2019;40809;DEU000010005;vessel5;fkz5;2019-03-10;2019-03-11;DEHER;DEHER;HER;t;
18;2018;40810;DEU000010005;vessel5;fkz5;2018-03-25;2018-03-26;DEHER;DEHER;HER;t;
19;2019;40813;DEU000010005;vessel5;fkz5;2019-03-24;2019-03-25;DEHER;DEHER;HER;t;
20;2017;40814;DEU000010005;vessel5;fkz5;2017-04-02;2017-04-03;DEHER;DEHER;HER;t;
21;2017;40315;DEU000010006;vessel6;fkz6;2017-05-21;2017-05-22;DEHAR7;DEHAR7;DEM;t;
22;2019;40319;DEU000010006;vessel6;fkz6;2019-06-18;2019-06-19;DEHAR7;DEHAR7;HGH;t;
23;2019;40334;DEU000010006;vessel6;fkz6;2019-11-06;2019-11-06;DEHAR7;DEHAR7;HGH;t;
24;2019;40604;DEU000010006;vessel6;fkz6;2019-06-04;2019-06-04;DEHAR7;DEHAR7;CNR;t;
25;2017;40613;DEU000010006;vessel6;fkz6;2017-04-10;2017-04-10;DEHAR7;DEHAR7;HGM;t;
26;2019;40810;DEU000010007;vessel7;fkz7;2019-03-10;2019-03-11;DEHER;DEHER;HER;t;
27;2017;40817;DEU000010007;vessel7;fkz7;2017-04-02;2017-04-03;DEHER;DEHER;HER;t;
28;2018;40817;DEU000010007;vessel7;fkz7;2018-04-08;2018-04-09;DEHER;DEHER;HER;t;
29;2017;40819;DEU000010007;vessel7;fkz7;2017-04-24;2017-04-25;DEHER;DEHER;HER;t;
30;2018;20304;DEU000010008;vessel8;fkz8;2018-01-17;2018-01-17;DEHAR17;DEHAR17;DEM;t;
31;2018;20334;DEU000010008;vessel8;fkz8;2018-10-26;2018-10-26;DEHAR17;DEHAR17;HGH;t;
32;2019;20405;DEU000010008;vessel8;fkz8;2019-02-28;2019-02-28;DEHAR17;DEHAR17;JNK;t;
33;2017;20801;DEU000010008;vessel8;fkz8;2017-02-13;2017-02-14;DEHER;DEHER;HER;t;
34;2018;20901;DEU000010008;vessel8;fkz8;2018-02-19;2018-02-19;DESPR;DESPR;SPR;t;
35;2018;20902;DEU000010008;vessel8;fkz8;2018-03-07;2018-03-07;DESPR;DESPR;SPR;t;
36;2017;40617;DEU000010009;vessel9;fkz9;2017-07-12;2017-07-12;DEHAR24;DEHAR24;HGM;t;
37;2017;40618;DEU000010009;vessel9;fkz9;2017-07-19;2017-07-19;DEHAR24;DEHAR24;DEM;t;
38;2019;40804;DEU000010010;vessel10;fkz10;2019-02-18;2019-02-18;DEHER;DEHER;HER;t;
39;2018;40808;DEU000010010;vessel10;fkz10;2018-03-12;2018-03-12;DEHER;DEHER;HER;t;
40;2018;41404;DEU000010010;vessel10;fkz10;2018-03-12;2018-03-12;DEHAR19;DEHAR19;MUK;t;
41;2019;41404;DEU000010010;vessel10;fkz10;2019-02-18;2019-02-18;DEHAR19;DEHAR19;HGH;t;
